claim,evidence,id,label,verifiable
Moscovium is a halogen.,"[[[279727, None, None, None], [281436, None, None, None], [328133, None, None, None], [328138, None, None, None]]]",107539,NOT ENOUGH INFO,NOT VERIFIABLE
Hezbollah received a type of training from Iran.,"[[[189631, 200881, 'Hezbollah', 7]], [[189634, 200883, 'Hezbollah', 7]]]",164883,SUPPORTS,VERIFIABLE
"In states still employing the electric chair to execute people, the prisoner is allowed the choice of lethal injection as an alternative method.","[[[70666, 81553, 'Electric_chair', 0], [70666, 81553, 'Capital_punishment', 1], [70666, 81553, 'Electric_chair', 14]]]",54298,SUPPORTS,VERIFIABLE
Practical Magic is an American romantic drama film.,"[[[265347, None, None, None]]]",222749,NOT ENOUGH INFO,NOT VERIFIABLE
Corsica belongs to Italy.,"[[[261348, 259507, 'Corsica', 5]], [[261348, 259508, 'Corsica', 0]]]",219675,REFUTES,VERIFIABLE
Ice-T refused to ever make hip-hop music.,"[[[157419, 171981, 'Ice-T', 1]], [[157419, 171982, 'Ice-T', 2]]]",134850,REFUTES,VERIFIABLE
The Gettysburg Address is a speech.,"[[[146153, 161143, 'Gettysburg_Address', 13]], [[146153, 161144, 'Gettysburg_Address', 14]], [[146153, 161145, 'Gettysburg_Address', 0]]]",124578,SUPPORTS,VERIFIABLE
Jason Bourne removed Riz Ahmed from the movie's cast.,"[[[156665, 171278, 'Jason_Bourne_-LRB-film-RRB-', 6]]]",134126,REFUTES,VERIFIABLE
Ron Dennis is unemployed.,"[[[147296, 162301, 'Ron_Dennis', 0]], [[147296, 162302, 'Ron_Dennis', 1]], [[147296, 162303, 'Ron_Dennis', 28]]]",125577,REFUTES,VERIFIABLE
Wolfgang Amadeus Mozart showed he was a child protege.,"[[[35108, None, None, None]]]",132244,NOT ENOUGH INFO,NOT VERIFIABLE
Chinatown's writer is a convicted statutory rapist.,"[[[269158, None, None, None]]]",225798,NOT ENOUGH INFO,NOT VERIFIABLE
One Dance has always been banned in the Netherlands.,"[[[142261, 157459, 'One_Dance', 11]], [[144163, 159214, 'One_Dance', 11]], [[147186, 162176, 'One_Dance', 11]], [[311097, 301123, 'One_Dance', 11]]]",46810,REFUTES,VERIFIABLE
Adidas designs items.,"[[[103077, 116408, 'Adidas', 0]], [[103079, 116410, 'Adidas', 0]], [[103079, 116411, 'Adidas', 10]], [[103084, 116413, 'Adidas', 0]]]",85923,SUPPORTS,VERIFIABLE
Sean Gunn is an American poet.,"[[[210390, None, None, None]]]",181252,NOT ENOUGH INFO,NOT VERIFIABLE
Dissociative identity disorder is known as multiple personality disorder.,"[[[17781, 21933, 'Dissociative_identity_disorder', 0]]]",1933,SUPPORTS,VERIFIABLE
Zoe Saldana is a Leo.,"[[[323155, 311380, 'Zoe_Saldana', 0], [323155, 311380, 'Leo_-LRB-astrology-RRB-', 2]], [[323712, 311935, 'Zoe_Saldana', 0], [323712, 311935, 'Leo_-LRB-astrology-RRB-', 2]], [[325174, 312933, 'Zoe_Saldana', 0]]]",88894,REFUTES,VERIFIABLE
Fred Seibert has produced comedy programs.,"[[[33433, None, None, None]]]",17915,NOT ENOUGH INFO,NOT VERIFIABLE
Konidela Production Company was established.,"[[[74753, 85971, 'Konidela_Production_Company', 0]]]",58396,SUPPORTS,VERIFIABLE
Paul von Hindenburg was a man.,"[[[174559, 187739, 'Paul_von_Hindenburg', 0]], [[174559, 187740, 'Paul_von_Hindenburg', 1]]]",150751,SUPPORTS,VERIFIABLE
"Vic Mensa was born June 12, 1993.","[[[208739, 216718, 'Vic_Mensa', 0]]]",179831,REFUTES,VERIFIABLE
FC Bayern Munich was sponsored by Pepsi.,"[[[265883, None, None, None]]]",223218,NOT ENOUGH INFO,NOT VERIFIABLE
Jenny McCarthy modeled for Playboy magazine.,"[[[12029, 15072, 'Jenny_McCarthy', 1]]]",7429,SUPPORTS,VERIFIABLE
Mutiny on the Bounty is an American film.,"[[[26722, 32798, 'Mutiny_on_the_Bounty_-LRB-1962_film-RRB-', 0]]]",11538,SUPPORTS,VERIFIABLE
Color of Night came out in 1994.,"[[[34839, 42253, 'Color_of_Night', 0]], [[34839, 42254, 'Color_of_Night', 8]]]",19068,SUPPORTS,VERIFIABLE
Death Note is a Japanese television drama series that first aired in 2015.,"[[[202955, 212094, 'Death_Note_-LRB-2015_TV_series-RRB-', 0], [202955, 212094, 'Death_Note_-LRB-2015_TV_series-RRB-', 5]]]",175438,SUPPORTS,VERIFIABLE
Anna Nicole Smith worked for multiple real estate companies.,"[[[26671, None, None, None]]]",11492,NOT ENOUGH INFO,NOT VERIFIABLE
The Nobel Prize in Chemistry was awarded to a person from the Kingdom of Denmark.,"[[[189190, None, None, None]]]",164502,NOT ENOUGH INFO,NOT VERIFIABLE
Westworld (TV series)'s first season has one episode.,"[[[97192, 110372, 'Westworld_-LRB-TV_series-RRB-', 4]]]",80212,REFUTES,VERIFIABLE
Manchester by the Sea is distributed by several large armadillos.,"[[[290544, None, None, None], [338679, None, None, None]]]",142793,NOT ENOUGH INFO,NOT VERIFIABLE
"Richard Dawson's date of birth was November 20, 1932.","[[[138953, 153989, 'Richard_Dawson', 0]]]",118448,SUPPORTS,VERIFIABLE
Pink is a Dutch singer.,"[[[124786, 139136, 'Pink_-LRB-singer-RRB-', 0]], [[124787, 139137, 'Pink_-LRB-singer-RRB-', 0]], [[124788, 139138, 'Pink_-LRB-singer-RRB-', 0]], [[124789, 139139, 'Pink_-LRB-singer-RRB-', 0]]]",106308,REFUTES,VERIFIABLE
The Blue Dog coalition was formed by conservative republicans.,"[[[100602, 113898, 'Blue_Dog_Coalition', 0], [100602, 113898, 'Blue_Dog_Coalition', 3]]]",83527,REFUTES,VERIFIABLE
Mount Hood is the lowest point in its state.,"[[[140005, 155011, 'Mount_Hood', 3]]]",119227,REFUTES,VERIFIABLE
Pocahontas attended a masque at Whitehall Palace which was a place where mostly English people gathered.,"[[[46498, None, None, None]]]",30108,NOT ENOUGH INFO,NOT VERIFIABLE
US Airways Flight 1549 had 1978 people on board.,"[[[13651, 17085, 'US_Airways_Flight_1549', 2]], [[18944, 23209, 'US_Airways_Flight_1549', 2]], [[23050, 28401, 'US_Airways_Flight_1549', 1], [23050, 28401, 'Chesley_Sullenberger', 0]], [[23050, 28402, 'US_Airways_Flight_1549', 2]], [[184692, 196560, 'US_Airways_Flight_1549', 2]], [[299281, 290657, 'US_Airways_Flight_1549', 2]]]",8404,REFUTES,VERIFIABLE
Louie (season 1) is a romance-disaster TV series.,"[[[102539, 115811, 'Louie_-LRB-season_1-RRB-', 0]]]",85093,REFUTES,VERIFIABLE
Mom (TV series) has received one nomination.,"[[[106750, 120139, 'Mom_-LRB-TV_series-RRB-', 9]]]",89521,REFUTES,VERIFIABLE
Yemen has a eastern coast.,"[[[67284, None, None, None]]]",50942,NOT ENOUGH INFO,NOT VERIFIABLE
There was an attempt to incorporate Cyprus into Greece.,"[[[51984, 61837, 'Cyprus', 16]]]",35804,SUPPORTS,VERIFIABLE
Daredevil is based on the character of the same name.,"[[[155334, 170033, 'Daredevil_-LRB-TV_series-RRB-', 0]], [[155335, 170034, 'Daredevil_-LRB-TV_series-RRB-', 0]]]",132874,SUPPORTS,VERIFIABLE
Moscovium's atomic symbol contains a G and at least two E's.,"[[[92104, 104882, 'Moscovium', 0]]]",75311,REFUTES,VERIFIABLE
Kevin Bacon was in the film Sleepers in 2006.,"[[[229182, 233202, 'Kevin_Bacon', 2], [229182, 233202, 'Sleepers', 0], [229182, 233202, 'Sleepers', 1]]]",195244,REFUTES,VERIFIABLE
Night of the Living Dead is a series of seven zombie horror films made between 1968 and 2010.,"[[[120458, None, None, None]]]",102597,NOT ENOUGH INFO,NOT VERIFIABLE
Cleopatre is related to a work.,"[[[145054, None, None, None], [147958, None, None, None], [150128, None, None, None], [311226, None, None, None]]]",47482,NOT ENOUGH INFO,NOT VERIFIABLE
Stomp the Yard stars an American actor born in 1992.,"[[[75178, None, None, None]]]",55615,NOT ENOUGH INFO,NOT VERIFIABLE
"L. Ron Hubbard spent the remaining years of his life solely on a ranch near Atlanta, Georgia.","[[[228129, None, None, None]]]",194750,NOT ENOUGH INFO,NOT VERIFIABLE
Maria Theresa was Emperor Charles VI's daughter.,"[[[85749, 98046, 'Maria_Theresa', 5]]]",69108,SUPPORTS,VERIFIABLE
Resident Evil is loosely based on a series of video games.,"[[[250005, 250069, 'Resident_Evil_-LRB-film-RRB-', 2]]]",211019,SUPPORTS,VERIFIABLE
The Airbus A380 made its first flight on Mars.,"[[[98823, None, None, None]]]",81765,NOT ENOUGH INFO,NOT VERIFIABLE
The Paper only stars Robin Wright.,"[[[60781, 71263, 'The_Paper_-LRB-film-RRB-', 0]]]",44397,REFUTES,VERIFIABLE
The Hunger Games are a series of sporting events.,"[[[68598, 79460, 'The_Hunger_Games_-LRB-film_series-RRB-', 0]]]",52287,REFUTES,VERIFIABLE
Ares is a baseball player.,"[[[103816, None, None, None]]]",86670,NOT ENOUGH INFO,NOT VERIFIABLE
A staging area is a location where vehicles are assembled after use.,"[[[225567, None, None, None]]]",192784,NOT ENOUGH INFO,NOT VERIFIABLE
Taarak Mehta Ka Ooltah Chashmah is produced by Neela Tele Films Private Limited and has run a long time.,"[[[18844, 23082, 'Taarak_Mehta_Ka_Ooltah_Chashmah', 0]]]",2961,SUPPORTS,VERIFIABLE
Ding Yanyuhang is male.,"[[[186735, 198514, 'Ding_Yanyuhang', 1]]]",162206,SUPPORTS,VERIFIABLE
Kevin Bacon has yet to be in a film.,"[[[229100, 233152, 'Kevin_Bacon', 1]], [[229100, 233153, 'Kevin_Bacon', 2]]]",195202,REFUTES,VERIFIABLE
Move (Little Mix song) was released in October of 2013.,"[[[207470, 215727, 'Move_-LRB-Little_Mix_song-RRB-', 8]]]",178219,REFUTES,VERIFIABLE
Baloch people rarely speak the Balochi language.,"[[[66094, 76935, 'Baloch_people', 3]]]",49775,REFUTES,VERIFIABLE
The Office (US) debuted on ESPN.,"[[[243508, 244718, 'The_Office_-LRB-U.S._TV_series-RRB-', 9]]]",206030,REFUTES,VERIFIABLE
"Phoenix, Arizona is the capital of the Atlantic Ocean.","[[[61736, 72211, 'Phoenix,_Arizona', 0]]]",45394,REFUTES,VERIFIABLE
Aphrodite plays tennis with Hephaestus.,"[[[17564, 21716, 'Aphrodite', 13]]]",1799,REFUTES,VERIFIABLE
Nina Jacobson is a music executive.,"[[[212546, None, None, None]]]",182695,NOT ENOUGH INFO,NOT VERIFIABLE
Vera Wang is an American Fashion Designer.,"[[[214599, 221588, 'Vera_Wang', 0]]]",184285,SUPPORTS,VERIFIABLE
Sennacherib was assassinated in 687 BCE.,"[[[247538, 247825, 'Sennacherib', 2]]]",209109,REFUTES,VERIFIABLE
"Augustus Prew was born in Westminster, London, Scotland.","[[[221794, 227349, 'Augustus_Prew', 5]]]",189867,REFUTES,VERIFIABLE
Benjamin Franklin had indefatigable campaigning for colonial unity and was regarded.,"[[[119152, None, None, None]]]",101407,NOT ENOUGH INFO,NOT VERIFIABLE
Resident Evil is loosely based on a novel series.,"[[[250007, 250072, 'Resident_Evil_-LRB-film-RRB-', 2]]]",211022,REFUTES,VERIFIABLE
"In 2004, Spider-Man 2 was released.","[[[65503, 76378, 'Spider-Man_2', 9]]]",49169,SUPPORTS,VERIFIABLE
Pocahontas was the daughter of the president.,"[[[148109, None, None, None]]]",126261,NOT ENOUGH INFO,NOT VERIFIABLE
Physics is not one of the oldest academic disciplines.,"[[[77644, 89092, 'Physics', 4]]]",61136,REFUTES,VERIFIABLE
There is a software that is branded with a number for the versions it is released as called Adobe Photoshop.,"[[[135691, 150540, 'Adobe_Photoshop', 12]]]",114158,SUPPORTS,VERIFIABLE
Chris Mullin played with a team who play basketball professionally.,"[[[203624, 212610, 'Chris_Mullin_-LRB-basketball-RRB-', 10]], [[203624, 212611, 'Chris_Mullin_-LRB-basketball-RRB-', 11], [203624, 212611, 'Indiana_Pacers', 0]]]",175864,SUPPORTS,VERIFIABLE
Louis Malle produced films in the English language.,"[[[140040, 155049, 'Louis_Malle', 6]]]",117767,SUPPORTS,VERIFIABLE
Color of Night won a Golden Raspberry Award in 1994.,"[[[107590, 121085, 'Color_of_Night', 8]], [[107593, 121092, 'Color_of_Night', 8]]]",90291,SUPPORTS,VERIFIABLE
A thunderstorm can also be called an hurricane.,"[[[237312, None, None, None]]]",201605,NOT ENOUGH INFO,NOT VERIFIABLE
Hammer Film Productions produced Let Me In in the United States in 2010.,"[[[195199, None, None, None]]]",169328,NOT ENOUGH INFO,NOT VERIFIABLE
Lorelai Gilmore's father is a banker.,"[[[71485, None, None, None]]]",55024,NOT ENOUGH INFO,NOT VERIFIABLE
Zoe Saldana is a citizen of somewhere.,"[[[176597, None, None, None]]]",152656,NOT ENOUGH INFO,NOT VERIFIABLE
Charles de Gaulle is the basis of a German political stance.,"[[[38214, None, None, None]]]",22368,NOT ENOUGH INFO,NOT VERIFIABLE
Catherine Hardwicke has married a screenwriter.,"[[[233428, None, None, None]]]",198546,NOT ENOUGH INFO,NOT VERIFIABLE
Maggie Q starred in a CW series.,"[[[44912, 53597, 'Maggie_Q', 1]]]",28788,SUPPORTS,VERIFIABLE
James Spader is known for portraying eccentric villains.,"[[[81378, None, None, None], [81423, None, None, None]]]",64885,NOT ENOUGH INFO,NOT VERIFIABLE
Netscape Navigator was rejected by a subsidiary of AOL.,"[[[138917, 153962, 'Netscape_Navigator', 2]]]",118395,REFUTES,VERIFIABLE
Brie Larson was denied any role in the movie Short Term 12.,"[[[19552, 24017, 'Brie_Larson', 10]]]",3483,REFUTES,VERIFIABLE
October is the month when the season of Two and a Half Men aired.,"[[[272849, None, None, None]]]",228681,NOT ENOUGH INFO,NOT VERIFIABLE
Ned Stark was introduced in 1996's A Game of Thrones.,"[[[91443, 104174, 'Ned_Stark', 1]]]",74648,SUPPORTS,VERIFIABLE
Gaius Julius Caesar was the uncle of a dictator.,"[[[242339, None, None, None]]]",205109,NOT ENOUGH INFO,NOT VERIFIABLE
Death Note is a Japanese television series that is available on DVD.,"[[[202968, None, None, None]]]",175450,NOT ENOUGH INFO,NOT VERIFIABLE
William Cohen is from a Canadian province.,"[[[220636, None, None, None]]]",188975,NOT ENOUGH INFO,NOT VERIFIABLE
"Google Search can find stock quotes, updated in real time.","[[[151996, None, None, None]]]",129789,NOT ENOUGH INFO,NOT VERIFIABLE
The Silver Surfer appears in Dutch comic books.,"[[[135101, None, None, None]]]",115065,NOT ENOUGH INFO,NOT VERIFIABLE
MSG is only used in the film industry.,"[[[149985, 164918, 'Monosodium_glutamate', 1]], [[149985, 164919, 'Monosodium_glutamate', 4]]]",128004,REFUTES,VERIFIABLE
Amy Adams stars in Trouble with the Curve.,"[[[151879, 166638, 'Trouble_with_the_Curve', 0]]]",129672,SUPPORTS,VERIFIABLE
Species distribution can be understood through many factors except glaciation.,"[[[260779, 259076, 'Species_distribution', 14]]]",219200,REFUTES,VERIFIABLE
Clueless (film) was followed by a series of films.,"[[[144620, None, None, None]]]",123153,NOT ENOUGH INFO,NOT VERIFIABLE
Backing vocalists provide vocal harmony.,"[[[228914, 232991, 'Backing_vocalist', 0]]]",195124,SUPPORTS,VERIFIABLE
Yvonne Strahovski was involved in an ABC period drama.,"[[[122860, None, None, None]]]",104562,NOT ENOUGH INFO,NOT VERIFIABLE
Doxycycline may cause teeth to change color in children.,"[[[106383, 119816, 'Doxycycline', 7]], [[106385, 119818, 'Doxycycline', 7]]]",89156,SUPPORTS,VERIFIABLE
The University of Leicester contributed to the discovery of the pets of King Richard III.,"[[[232372, None, None, None]]]",197660,NOT ENOUGH INFO,NOT VERIFIABLE
The Danish language is spoken in England.,"[[[100960, None, None, None]]]",83942,NOT ENOUGH INFO,NOT VERIFIABLE
Scandinavia does not include the remote Norwegian islands of Svalbard and Jan Mayen as of 2002.,"[[[223106, None, None, None], [226728, None, None, None], [229498, None, None, None]]]",70280,NOT ENOUGH INFO,NOT VERIFIABLE
Adidas designs boots.,"[[[12303, None, None, None], [12315, None, None, None], [15682, None, None, None], [19583, None, None, None], [23659, None, None, None], [298963, None, None, None], [301008, None, None, None], [302543, None, None, None], [337047, None, None, None]]]",7581,NOT ENOUGH INFO,NOT VERIFIABLE
"Jack Dylan Grazer was born in Tampa, Florida.","[[[145391, 160383, 'Jack_Dylan_Grazer', 0]], [[148346, 163366, 'Jack_Dylan_Grazer', 0]], [[311290, 301308, 'Jack_Dylan_Grazer', 0]], [[312867, 302595, 'Jack_Dylan_Grazer', 0]]]",47848,REFUTES,VERIFIABLE
Two of Mozart's sons were alive after his death.,"[[[182303, 194557, 'Wolfgang_Amadeus_Mozart', 12]]]",158017,SUPPORTS,VERIFIABLE
Richard Fortus has recorded a studio album with a band.,"[[[83720, None, None, None]]]",67148,NOT ENOUGH INFO,NOT VERIFIABLE
Stephen Moyer worked with no time off.,"[[[219547, None, None, None]]]",188138,NOT ENOUGH INFO,NOT VERIFIABLE
Donald Trump was a member of the Grateful Dead.,"[[[13518, None, None, None], [18925, None, None, None], [169066, None, None, None], [299271, None, None, None]]]",8317,NOT ENOUGH INFO,NOT VERIFIABLE
Half Girlfriend was partially filmed in Delhi.,"[[[77733, 89187, 'Half_Girlfriend_-LRB-film-RRB-', 4]]]",61233,SUPPORTS,VERIFIABLE
The Hyksos' chief deity became married to a god of the desert.,"[[[230181, None, None, None], [230193, None, None, None]]]",195926,NOT ENOUGH INFO,NOT VERIFIABLE
Prices for stocks can be shown in Google Search.,"[[[125176, 139520, 'Google_Search', 13]]]",105645,SUPPORTS,VERIFIABLE
Shannon Lee is not a businesswoman.,"[[[287371, 280812, 'Shannon_Lee', 0]], [[289358, 282434, 'Shannon_Lee', 0]], [[290961, 283934, 'Shannon_Lee', 0]], [[335969, 321658, 'Shannon_Lee', 0]], [[336235, 321849, 'Shannon_Lee', 0]]]",133374,REFUTES,VERIFIABLE
Leslie Alexander is a former Lawrence Kotkin Associates bond trader.,"[[[117631, None, None, None], [122271, None, None, None], [308582, None, None, None], [310224, None, None, None], [310541, None, None, None]]]",39959,NOT ENOUGH INFO,NOT VERIFIABLE
Japan national football team is incapable of being one of the most successful teams in Asia.,"[[[196026, 206177, 'Japan_national_football_team', 4]]]",169941,REFUTES,VERIFIABLE
Olympic medals no longer display the Colosseum as of 2014.,"[[[147976, None, None, None]]]",126140,NOT ENOUGH INFO,NOT VERIFIABLE
One Flew Over the Cuckoo's Nest was the second film to win the Palm D'Or.,"[[[117170, None, None, None]]]",99521,NOT ENOUGH INFO,NOT VERIFIABLE
Every spectator has a velvet seat in an all-seater stadium.,"[[[265514, None, None, None]]]",222892,NOT ENOUGH INFO,NOT VERIFIABLE
Revolver topped America's Billboard Top LP's list for six weeks in 1965.,"[[[269255, 265636, 'Revolver_-LRB-Beatles_album-RRB-', 16]]]",225863,SUPPORTS,VERIFIABLE
Catherine Hardwicke has been unable to ever do any production design.,"[[[233424, 236352, 'Catherine_Hardwicke', 0]], [[233426, 236354, 'Catherine_Hardwicke', 0]]]",198544,REFUTES,VERIFIABLE
"In 2014, Sledgehammer was performed live for the first time.","[[[80909, None, None, None]]]",64471,NOT ENOUGH INFO,NOT VERIFIABLE
Shape of You made the top baby name charts.,"[[[55835, None, None, None]]]",39537,NOT ENOUGH INFO,NOT VERIFIABLE
"Benjamin Franklin was not born on April 17th, 1790.","[[[56110, 66238, 'Benjamin_Franklin', 0]]]",39811,REFUTES,VERIFIABLE
Paul von Hindenburg was a traitor.,"[[[156498, None, None, None]]]",133969,NOT ENOUGH INFO,NOT VERIFIABLE
Commodore is a naval rank.,"[[[241561, 243089, 'Commodore_-LRB-rank-RRB-', 0]], [[241563, 243103, 'Commodore_-LRB-rank-RRB-', 0]]]",204556,SUPPORTS,VERIFIABLE
Matt Bomer's middle child is Staton.,"[[[142642, None, None, None]]]",121465,NOT ENOUGH INFO,NOT VERIFIABLE
Part of The Last Song (film) was filmed on a mountain.,"[[[53156, None, None, None]]]",36954,NOT ENOUGH INFO,NOT VERIFIABLE
Dan Trachtenberg is from the United States.,"[[[150173, None, None, None]]]",128180,NOT ENOUGH INFO,NOT VERIFIABLE
Solanum contains plants with ornamental flowers.,"[[[31489, 38221, 'Solanum', 1]]]",16079,SUPPORTS,VERIFIABLE
Ted Cruz is an American male.,"[[[263315, 261025, 'Ted_Cruz', 0], [263315, 261025, 'Ted_Cruz', 1], [263315, 261025, 'Ted_Cruz', 5], [263315, 261025, 'Ted_Cruz', 9], [263315, 261025, 'Ted_Cruz', 10], [263315, 261025, 'Ted_Cruz', 14], [263315, 261025, 'Ted_Cruz', 15], [263315, 261025, 'Ted_Cruz', 16], [263315, 261025, 'Ted_Cruz', 17], [263315, 261025, 'Ted_Cruz', 21], [263315, 261025, 'Ted_Cruz', 25], [263315, 261025, 'Ted_Cruz', 26]]]",221137,SUPPORTS,VERIFIABLE
"Doug Petrie made a cameo in Dr. Horrible's Sing-Along Blog as ""Professor Normal"".","[[[95472, 108483, 'Doug_Petrie', 5]]]",78516,SUPPORTS,VERIFIABLE
The Vandals were an East Germanic tribe or group of tribes.,"[[[16826, 20840, 'Vandals', 0]]]",1219,SUPPORTS,VERIFIABLE
Woodrow Wilson formed the belief system Wilsonianism.,"[[[74722, None, None, None]]]",58352,NOT ENOUGH INFO,NOT VERIFIABLE
Brown University's main campus is located in Paris France.,"[[[111688, 125495, 'Brown_University', 0]]]",94252,REFUTES,VERIFIABLE
Gray Matters is a sandwich.,"[[[99643, 112769, 'Gray_Matters', 0]], [[99643, 112770, 'Gray_Matters', 1]], [[99645, 112777, 'Gray_Matters', 0]], [[99645, 112778, 'Gray_Matters', 1]], [[99650, 112782, 'Gray_Matters', 0]], [[99650, 112783, 'Gray_Matters', 1]]]",82580,REFUTES,VERIFIABLE
The 1998 romantic comedy The Man in the Iron Mask starred Leonardo DiCaprio.,"[[[202366, 211649, 'The_Man_in_the_Iron_Mask_-LRB-1998_film-RRB-', 0]]]",174986,REFUTES,VERIFIABLE
The great white shark does not prefer to prey on humans because it's a herbivore.,"[[[169045, 182720, 'Great_white_shark', 10]]]",145707,REFUTES,VERIFIABLE
Richard Kuklinski has a clan.,"[[[103235, None, None, None], [103240, None, None, None]]]",86080,NOT ENOUGH INFO,NOT VERIFIABLE
Joni Mitchell released an album.,"[[[157790, 172389, 'Joni_Mitchell', 10]]]",135212,SUPPORTS,VERIFIABLE
"Half Girlfriend's principal photography began on June 16, 2016.","[[[148022, None, None, None]]]",126173,NOT ENOUGH INFO,NOT VERIFIABLE
Cyprus is a place where tourists go.,"[[[143436, 158552, 'Cyprus', 29]]]",121548,SUPPORTS,VERIFIABLE
Virginia exports only crops.,"[[[71139, 82075, 'Virginia', 19]]]",54789,REFUTES,VERIFIABLE
The 2003 NCAA Division I Men's Basketball Tournament was widely viewed.,"[[[292567, None, None, None], [340373, None, None, None], [340381, None, None, None], [340382, None, None, None]]]",149016,NOT ENOUGH INFO,NOT VERIFIABLE
Proponents of globalism tend to advocate for decreases in immigration.,"[[[113970, 127804, 'Globalism', 1]]]",96401,REFUTES,VERIFIABLE
John Goodman has not had lead roles.,"[[[133503, 148357, 'John_Goodman', 7]]]",112137,REFUTES,VERIFIABLE
France is the owner of Corsica.,"[[[261547, 259643, 'Corsica', 0]], [[261547, 259644, 'Corsica', 5]], [[261547, 259645, 'Corsica', 13]]]",219704,SUPPORTS,VERIFIABLE
Carol Danvers appeared in 35 comic books published by Marvel Comics.,"[[[65634, None, None, None], [67468, None, None, None], [69643, None, None, None], [303747, None, None, None], [303797, None, None, None]]]",23835,NOT ENOUGH INFO,NOT VERIFIABLE
The cinematography of Far from the Madding Crowd was by an English cinematographer.,"[[[212872, 220288, 'Far_from_the_Madding_Crowd_-LRB-1967_film-RRB-', 3], [212872, 220288, 'Nicolas_Roeg', 0]]]",182902,SUPPORTS,VERIFIABLE
Key & Peele has been nominated for a Writers Guild Award and an Oscar.,"[[[79094, None, None, None], [81462, None, None, None], [305885, None, None, None], [307137, None, None, None]]]",27273,NOT ENOUGH INFO,NOT VERIFIABLE
Reanimation is not a remix album.,"[[[65277, 76150, 'Reanimation_-LRB-Linkin_Park_album-RRB-', 0]], [[65319, 76217, 'Reanimation_-LRB-Linkin_Park_album-RRB-', 0]], [[65319, 76218, 'Reanimation_-LRB-Linkin_Park_album-RRB-', 2]]]",48936,REFUTES,VERIFIABLE
DodgeBall: A True Underdog Story was written and directed solely by Rob Lowe.,"[[[153417, 168223, 'DodgeBall-COLON-_A_True_Underdog_Story', 0]]]",131105,REFUTES,VERIFIABLE
Benzodiazepine is a medication.,"[[[26336, 32374, 'Benzodiazepine', 2]], [[26336, 32375, 'Benzodiazepine', 7], [26336, 32375, 'Premedication', 0]], [[26336, 32376, 'Benzodiazepine', 16]]]",11145,SUPPORTS,VERIFIABLE
See You on the Other Side is a silent item.,"[[[28204, None, None, None]]]",12952,NOT ENOUGH INFO,NOT VERIFIABLE
Jamie Lee Curtis starred in John Carpenter's theater production of Hamlet.,"[[[137546, None, None, None]]]",117176,NOT ENOUGH INFO,NOT VERIFIABLE
The Times switched to a compact format in response to commuter complaints.,"[[[89233, 101917, 'The_Times', 21]]]",72519,SUPPORTS,VERIFIABLE
