,id,claim
171,79113,The Raven (2012 film) was released in Croatia in 2012.
172,132703,Fred Seibert has a career as a record producer.
173,140442,"In odd-numbered years, the Africa Cup of Nations occurs."
174,26340,Pocahontas's birth name was Matoaka.
175,1934,Multiple personality disorder is another name for Dissociative identity disorder.
176,13239,The Maltese language is the national language of Malta.
177,26808,Antigua and Barbuda was named in April of 1493.
178,20561,Jamie Lee Curtis' mother was famous.
179,28447,The Tenth Doctor makes his penultimate appearance in Journey's End.
180,187567,Dan Brown wrote a book.
181,75778,Brown University's main campus is located in the College Hill Historic District of Providence.
182,193544,Bala's has directed at least four romantic films.
183,35055,Times when movies are playing can be returned by Google Search.
184,93739,"In America, Warcraft was released by Universal Pictures."
185,27416,"University of Chicago Law School is ranked first for ""Faculty quality based on American Academy of Arts and Sciences Membership."""
186,69918,The only money used in America is the United States dollar.
187,26623,Pearl (Steven Universe) is a fictional alien being.
188,206021,There is a show called The Office (US).
189,178217,Move (Little Mix song) was released in the UK on the album Salute.
190,221240,The Block (album) was released by the band the New Kids on the Block.
191,35703,Stomp the Yard stars an American actress born in 1981.
192,71722,Zac Efron is a performer.
193,54930,The Icelandic Coast Guard is a service and it is significant to modern infrastructure.
194,28741,The Bengal tiger has stripes.
195,226458,Chadwick Boseman portrayed a film character.
196,50202,Designated Survivor (TV series) was founded on ABC.
197,198553,Catherine Hardwicke has done production design for television shows.
198,10845,Manchester by the Sea is a title.
199,211859,See.SZA.Run is a picture book.
200,194259,Coins of the Swiss franc are used in a country.
201,80013,Kate Walsh portrayed the role of Dr. Addison Montgomery on Grey's Anatomy.
202,121817,The Premier League Asia Trophy is for football and especially association football.
203,169916,Japan national football team is one of the most successful teams in a continent.
204,127626,Woodrow Wilson established Wilsonianism which was an activist foreign policy he implemented during World War I.
205,35681,Internet access avoids the use of computer terminals.
206,153736,Ron Howard directed The Paper.
207,220439,The Church of Jesus Christ of Latter-day Saints has a fasting law.
208,14231,Melilla has an area of 11.3 km2.
209,177853,Milk is an American movie from 2008.
210,192781,A staging area is a location where fish are assembled before use.
211,196171,Jon Hamm received incentive bonuses while filming Mad Men.
212,3661,Riz Ahmed acted in an American miniseries based on a British television series.
213,139427,Tom Kenny stars in The SpongeBob SquarePants Movie.
214,174520,Formula One's Red Bull Racing races under an Austrian license.
215,135174,"Joseph Goebbels' Propaganda Ministry controlled the news media, arts, and information in books."
216,68742,John Frusciante is a musician.
217,119292,Kate Walsh was on the Netflix series 13 Reasons Why for two seasons.
218,148164,Little Dorrit is a Charles Dicken's novel.
219,62368,Pharmacology is classified as a biomedical science.
220,127438,MSG is used in food.
221,43170,A. P. J. Abdul Kalam was elected as President of India.
222,89309,The Mormon population has grown significantly since 1980.
223,57718,Bonaire is one of the three BES islands in the Caribbean.
224,10654,The Beverly Hillbillies ranked among the top 20 most watched programs on television.
225,177543,There is a remake called Brick Mansions.
226,121280,"Shomu Mukherjee died on April 1, 2008."
227,162217,Ding Yanyuhang is from Beijing.
228,222644,A United Kingdom is about a biographical romantic drama film.
229,34470,Charles Howard Hinton was a seminal science fiction writer responsible for conceiving of a fourth spatial dimension.
230,219172,Species distribution can be understood through factors such as continental drift and extinction.
231,224552,Vampire Academy was a financial failure grossing only $14 million.
232,73017,The Challenge XXX: Dirty 30 is the thirtieth season of a TV series.
233,162668,Norman Bates is main antagonist in Psycho.
234,179103,The Good German starred Cate Blanchett.
235,1361,"Deepika Padukone has acted in comedies, dramas, and romances."
236,188141,Stephen Moyer acted in a film adaptation of a the Prince Valiant comic.
237,143105,Jefferson Davis grew up in the United States.
238,192748,The Colbert Report has not been taped.
239,90174,Simon Pegg is a producer.
240,177854,Milk is an Academy Award winner.
241,98448,"Dissociative identity disorder, or DID, may result from disruptions in memory caused by psychological trauma."
242,99461,Personality is affected by the hindrance of values.
243,37400,General Motors had non-automotive brands.
244,123031,No Strings Attached was released in a country of the Northern Hemisphere.
245,174870,"In the geographic center of the Oklahoma City metropolitan area, the Alfred P. Murrah Federal Building was located."
246,156560,Alex Jones's views are further right than the standard political right on the left-right spectrum.
247,224568,Vampire Academy was a critical success.
248,126590,The Burj Khalifa contains elevators.
249,12483,Richard Dawson was the host of Family Feud in the 1970s in the United States.
250,197664,The University of Leicester contributed to the identification of the remains of King Richard III in 2013.
251,125481,Wolfgang Amadeus Mozart was married.
252,62491,Battle of the Bastards had a viewership of over a million in its initial broadcast.
253,158641,Bill Graham Civic Auditorium was designed by American architect John Galen Howard.
254,46754,Little Dorrit was originally published in serial form.
255,143788,The Washington Monument is north of the Lincoln Memorial.
256,47478,Fuller House (TV series) airs in America.
257,9842,Loretta Sanchez is a politician.
258,67544,Laura Robson participated in the International Tennis Federation.
259,63621,Samsung entered the ectronics industries in the 1970's.
260,205079,The Little Prince (2015 film) is a film.
261,158635,Bill Graham Civic Auditorium was built in 1915.
262,130325,Dark matter is different from neutrinos.
263,72143,Designated Survivor (TV series) is a television show.
264,155006,Jamie Babbit directed The Quiet.
265,187390,Rob McElhenney plays the character Mac on It's Always Sunny in Philadelphia.
266,194882,Rebel in the Rye was created by a screenwriter.
267,179107,The dramatic film The Good German starred Tobey Maguire.
268,101462,The Invisible Man was a horror film.
269,50197,"Scandal is fronted by someone born on June 26, 1957."
270,18477,"Psych (season 2) began on July 13th, 2007."
271,83173,Sky UK is a company which serves a sovereign country in debt.
272,153998,Dopamine induces neuromodulation.
273,215860,Jerome Flynn is an English singer.
274,151880,John Perry Barlow was a guitarist of the Grateful Dead.
275,8484,The 2003 NCAA Division I Men's Basketball Tournament was a knockout.
276,43510,Samsung was separated into four business groups in 1982.
277,100271,Sarah Hyland is a New Yorker.
278,161906,Alan Shepard served in the US Navy.
279,216179,Tenacious D was released before 2006.
280,20288,Balibo (film) takes place in a sovereign state in Maritime Southeast Asia called East Timor.
281,1395,Pocahontas was alive during the 16th and/or 17th centuries.
282,128807,The Quiet stars an actress.
283,20672,Vincent D'Onofrio was nominated for an Emmy Award.
284,31138,Part of The Last Song (film) was filmed on a pier.
285,175452,Death Note is a Japanese television science fiction series based on the manga series of the same name.
286,95542,Dan Trachtenberg is a person.
287,198422,Arthur Schopenhauer was born in the 1700's.
288,32091,Bonaire was part of the Netherlands Antilles until the country's dissolution.
289,9767,"Manchester United is based in Old Trafford, Greater Manchester, England."
290,124865,Baloch people speak a branch which has existed since Jeanne d'Arc.
291,133704,Lucy Hale's middle name is Karen.
292,192777,A staging area is a location where organisms are examined before use.
293,12612,The Challenge XXX: Dirty 30 is a season of an American TV show.
294,183461,"Henry III of France was succeeded by Henry IV, who became the first French king of the House of Bourbon."
295,42274,Deepika Padukone has been in at least four Indian films.
296,37802,The Book of Mormon predated the Grammy Award for Best Musical Theater Album.
297,82396,Minor League Baseball is a professional baseball league hierarchy.
298,128720,Chris Bosh is incapable of playing in the National Basketball Association.
299,123656,John DiMaggio has had roles on multiple shows from 1990 onward.
300,161911,Alan Shepard was Chief of the Astronaut Office.
301,222741,Practical Magic is based on a 1995 novel.
302,81029,"In The Babe, John Goodman played Babe Ruth."
303,68784,There is an island called Java.
304,162843,Islamabad is home to Quaid-i-Azam University and NUST.
305,106409,The Icelandic Coast Guard is an entity that services people.
306,163810,Ukrainian Soviet Socialist Republic was in an international organization.
307,134828,Hinduism has texts.
308,135151,The House of the Spirits received Bavarian Film Awards.
309,162035,Benjamin Walker (actor) is a thespian.
310,152870,Simon Cowell was a part of a reality show.
311,173924,An Education is a drama movie.
312,140462,SpongeBob SquarePants is a series.
313,1431,Port of Spain is a retail and administrative center.
314,215854,Jerome Flynn's legal middle name is Patrick.
315,96414,Mandy Moore is a vegetarian.
316,50650,Clueless (film) was followed by a spin-off television sitcom with the same name.
317,186004,Kyra Sedgwick played a role in a series.
318,59956,"There are currently 15,882,417 Mormon members as of April 2017."
319,80532,Emperor Norton is widely known.
320,30134,Netscape Navigator's successor was the Netscape Communicator suite.
321,180714,Cary Elwes writes.
322,43668,Superhuman abilities may be prevented by human enhancement by genetic modification.
323,73041,Parkinson's disease causes slowness of voluntary movement.
324,22620,Jon Bernthal stars in The Punisher.
325,205087,The Little Prince (2015 film) is about a prince.
326,225742,David Lloyd George was named one of the 100 Worst Britons.
327,5555,Uranium has an atomic number.
328,182934,The cinematography of Far from the Madding Crowd was by at least one cinematographer.
329,39670,Malta has an authorized religion.
330,10498,Oscar Isaac acted in X-Men: Apocalypse.
331,107877,Sarah Hyland had a small role in a film.
332,129434,Pocahontas was bilingual.
333,88712,Manchester United has had two home fields.
334,72332,Sonny & Cher began in 1965.
335,7025,Uranium uses the symbol U.
336,100795,Eurotas (river) is one of the minor rivers of Peloponnese.
337,37801,The Book of Mormon won a Grammy Award for Best Musical Theater Album.
338,59979,The Gettysburg Address was delivered by someone who was assassinated.
339,15486,Gray Matters was produced by Sue Kramer.
340,227098,Blank Space is on a list in a country.
341,163795,Ukrainian Soviet Socialist Republic was a founding member of the UN.
342,127820,The Incredibles 2 is scheduled to be released in June of 2018.
343,78289,Temple of the Dog is the name of a band.
344,192042,American Library Association is a library association and it is in the world.
345,94476,Georgians arose from a place.
346,46390,Keegan-Michael Key played President Barack Obama's famous anger translator.
347,228568,Telephone consists of a verse-rap.
348,137201,Azithromycin is sold without brand names.
349,182689,Nina Jacobson was president of a Walt Disney Company subsidiary.
350,177492,Pythagoras is generally considered to be the founder of a movement based on the teachings and beliefs about the afterlife held by Pythagoras and his followers.
351,49586,Johnny Van Zant still performs with sunglasses.
352,146730,Balibo (film) takes place in Indonesia.
353,9533,"Younger premiered on March 31, 2015."
354,60002,Granite is an igneous rock.
355,204545,Commodore is used in many navies.
356,1926,The Walking Dead (comic book) the inspiration of a video game.
357,224137,Celebrity Rehab with Dr. Drew is a TV show.
358,169322,Hammer Film Productions produced at least one film in 2012.
359,22409,Faye Resnick is an interior designer.
360,47525,King Edward the First's occupation of north Scotland was opposed by Andrew Moray.
361,46996,Google Search searches for pictures based on information entered into a device.
362,66845,LinkedIn is limited to 24 languages as of 2015.
363,188576,Pitch Perfect 2 centers on a university that is fictional.
364,72751,Jamie Lee Curtis had a starring role in John Carpenter's Halloween.
365,130835,Babur died in Asia.
366,88352,There is a CW series with Maggie Q as its star.
367,222749,Practical Magic is an American romantic drama film.
368,198532,Catherine Hardwicke is a film director.
369,143242,Castlevania was developed for the Nintendo Wii.
370,77046,Kenny Chesney's maiden name is Kenneth Arnold Chesney.
371,155865,The basis for The Beguiled is a novel with a setting in the American South.
372,92644,The KGB was governed by military laws and regulations.
373,82751,Paul von Hindenburg was a military officer.
374,195200,Kevin Bacon played a criminal.
375,208901,The Monster is a work of music.
376,20783,John S. McCain Jr. got a degree from the U.S. Naval Academy.
377,198065,Story of My Life was recorded by a band.
378,144855,Babur was a fighter.
379,70074,Amancio Ortega's last name is Gaona.
380,219677,Corsica contains an administrative division.
381,114278,Georgians came about from an ancient realm on the shore of the Black Sea.
382,127883,Nate Diaz competed in Japan for Pancrase.
383,227116,Blank Space is on a list in a country.
384,16378,Scandal is an American band.
385,139529,"Shape of You was the top song on the singles charts of the UK, Australia, and Canada."
386,226849,Sejong the Great died in the fifteenth century.
387,62117,Aestheticism values aesthetics over socio-political themes.
388,9119,Mom (TV series) has been nominated at the Critics' Choice Television Awards.
389,13876,Brazilian jiu-jitsu includes grappling.
390,192020,Adam Lambert does not publicly hide his homosexuality.
391,64666,Deepika Padukone has given both positive and negative criticism.
392,127090,Jenny McCarthy is a model.
393,153113,Samsung entered the shipbuilding industries in the mid-1970's.
394,217104,Innovation is often also viewed as the application of better solutions that meet new people.
395,174871,"The Alfred P. Murrah Federal Building was located in Downtown Oklahoma City, Oklahoma."
396,160919,"Robert Singer (producer) worked as a writer, producer and director on Supernatural."
397,35115,The Selma to Montgomery marches were part of a broader voting rights movement underway in Selma and they were a significant event of the 20th century.
398,191652,Ang Lee is 67 years old.
399,151104,Veep is a show on television.
400,182907,Nicolas Roeg did the cinematography of Far from the Madding Crowd.
401,101553,Aldous Huxley published writings.
402,112842,Alberto Contador won the 2011 Giro d'italiav initially.
403,162,Yin and yang is a concept.
404,29550,The Invisible Man was a science fiction horror film.
405,16880,The Romani people have migrated.
406,204986,Tyler Perry is a professional writer.
407,204563,Commodore is ranked between a captain and an admiral.
408,41290,The Wonder Years was a drama.
409,104605,Parkinson's disease has afflicted professional boxer Muhammad Ali.
410,177968,People get food from Trick-or-Treating.
411,212029,A Pet can give companionship to elderly adults.
412,69436,SpongeBob SquarePants is a media franchise.
413,152804,Ed Gein had exhumed corpses from eight local graveyards.
414,138708,Physics' main goal is to observe the behavior of the universe.
415,214799,The Tracey Fragments had a premiere in September.
416,207669,Andrew Carnegie has a 1889 article proclaiming ``The Gospel of Wealth''.
417,185184,You Only Live Twice is the first Bond movie with the director Lewis Gilbert.
418,57989,Arjit Singh is an Indian male musician.
419,40944,Cars 3 will be directed by Pixar employee
420,46262,Henry III assumed the throne at nine years old in the middle of the First Barons' War.
421,76117,I Want to Know What Love Is is a song.
422,19865,Yemen's temporary capital is Aden.
423,10688,Cleopatre premiered posthumously.
424,44856,Paris saw the Warcraft movie before America.
425,202309,The New Jersey Turnpike has rest areas named after notable Hoboken residents.
426,33235,The Walking Dead (comic book) inspired The Walking Dead: Torn Apart.
427,139330,One of the major features of Zoroastrianism is the belief and doctrine called messianism.
428,188967,William Cohen is a politician.
429,77007,Mom (TV series) has been nominated at an award show.
430,134169,Joni Mitchell released 17 albums of original songs over her 40 year career.
431,18346,Brie Larson was in a starring role in the movie Short Term 12.
432,214974,Sensitive Skin's first series aired in mid-2007.
433,79366,Temple Mount is related to an Abrahamic religion.
434,114620,Kevin Costner has won things.
435,76884,Heath Ledger directed music videos for celebrities.
436,8863,Great white sharks have killed people.
437,8148,Kung Fu Panda made $60.2 million during its opening weekend.
438,27809,Grease came out in 1978.
439,153437,Menace II Society is a motion picture.
440,227114,Blank Space is on a top 100 list in numerous countries.
441,104178,House of Balloons is a mixtape.
442,81263,Shannon Lee is a businesswoman who has had success.
443,202728,The Chaperone (film) was directed by Stephen Herek.
444,13868,Ares is an Olympian.
445,128613,"One Flew Over the Cuckoo's Nest won the five major Academy Awards the year it was released, the second film to do so."
446,16329,"The U-2 spy planes were produced in Burbank, California."
447,7762,Yin and yang demonstrate a balance between opposed entities.
448,182705,Nina Jacobson was born in the 20th century.
449,8403,US Airways Flight 1549 had 155 people on board.
450,125440,Stomp the Yard has Meagan Good in a minor role.
451,30961,Georges Gilles de la Tourette described symptoms of Tourette's syndrome.
452,140044,Jenny McCarthy appeared as a model in Playboy magazine.
453,103653,John Goodman starred in an awards show.
454,18031,Two and a Half Men originally aired on CBS.
455,165701,American Idol (season 8) had Randy Jackson as a judge for the eighth year in a row.
456,149090,Charles de Gaulle was a brigadier general.
457,222650,A United Kingdom was directed by Amma Asante.
458,224124,Celebrity Rehab with Dr. Drew aired on cable television.
459,55888,"The electric chair is an optional form of execution in Alabama, Florida, South Carolina, and Virginia."
460,90906,Simon Pegg is an English actor.
461,129907,Joseph Merrick inspired the play The Elephant Man.
462,195222,Kevin Bacon played a former murderer.
463,201595,A thunderstorm can also be called a catastrophe.
464,106468,The great white shark does not prefer to prey on cats.
465,36844,Watchmen explores the superhero genre through a dark satirical and dystopian lens.
466,74331,Bob Ross was a landscape painter.
467,160528,Malta claims to be the historical Melita that evicted Paul the Apostle.
468,132834,Gamal Abdel Nasser's business was in the capital of Egypt.
469,198558,Catherine Hardwicke has done design work.
470,50529,Veep has won the Television Critics Association Award for Outstanding Achievement in Comedy.
471,29324,The End of Time is the Tenth Doctor's final adventure.
472,96128,Parkinson's disease causes symptoms.
473,26836,Rick Ross released Hood Billionaire.
474,225746,"David Lloyd George was voted the third greatest British prime minister of the 20th century, after Winston Churchill."
475,197636,There was a contribution of the identification of the remains of King Richard III by the University of Leicester.
476,47577,The Big Country was based on a serialized magazine novel.
477,14610,James Brolin is an actor.
478,40748,Samsung entered the electronics industry in the late 20th century.
479,175434,The Japanese television drama series Death Note is based on the manga series of the same name.
480,175435,Death Note is a Japanese television drama series based on a manga series illustrated by Takeshi Obata.
481,66597,An Oscar for Best Actor was won by One Flew Over the Cuckoo's Nest.
482,175870,Chris Mullin played with a professional basketball team in the 1990s.
483,66046,"In the highest-grossing Superman film of all time, Henry Cavill played the superhero."
484,205133,Gaius Julius Caesar was a politician.
485,64599,Babur was from East-Central Asia.
486,66923,SummerSlam was promoted.
487,107258,Anneliese van der Pol had an early career.
488,93901,DodgeBall: A True Underdog Story has Vince Vaughn and Ben Stiller in starring roles.
489,156694,"South Island is referred to as the ""mainland."""
490,24025,Lorelai Gilmore is related to a character played by Edward Herrmann.
491,55425,Firefox is a desktop browser.
492,164897,Hezbollah received combat training from Iran.
493,45014,Cambridgeshire's local government is only one unitary authority.
494,196159,Jon Hamm received eight Primetime Emmy Award nominations.
495,21404,Brie Larson is an actress.
496,169318,Hammer Film Productions produced Let Me In in the US.
497,75584,Faye Resnick is known for her appearances on television.
498,9348,2 Hearts is a song by Minogue.
499,68488,Issa Rae appears in Awkward Black Girl.
500,97204,Hannah and Her Sisters is an American 1986 film.
501,1709,The IPhone 4 was marketed by Apple Inc..
502,175864,Chris Mullin played with a team who play basketball professionally.
503,115430,Sands Hotel and Casino opened in Las Vegas in 1952.
504,114158,There is a software that is branded with a number for the versions it is released as called Adobe Photoshop.
505,182692,Nina Jacobson is an executive.
506,117251,Cambridgeshire's local government is divided between Cambridgeshire County Council and Peterborough City Council.
507,39634,University of Chicago Law School is ranked in the 2016 QS World University Rankings.
508,176630,Great white sharks do not prefer dolphins as prey.
509,165694,Paula Abdul was an American Idol (season 8) judge.
510,117767,Louis Malle produced films in the English language.
511,214988,Sensitive Skin's first series aired on a television channel.
512,99736,Maggie Q starred in a Die Hard movie.
513,55066,Dark matter is a theoretical kind of matter.
514,64874,Keith Godchaux knew the Grateful Dead.
515,126705,The 2003 NCAA Division I Men's Basketball Tournament featured the top tier of intercollegiate players.
516,148844,The Maze Runner earned over $348 million worldwide at the box office.
517,162838,Islamabad is a place.
518,45806,"Bonobos' estimated population is less than 50,000."
519,188992,William Cohen is a man.
520,114247,The Gettysburg Address was criticized by a politician.
521,90291,Color of Night won a Golden Raspberry Award in 1994.
522,15645,"Inside Llewyn Davis was screened for the Cannes Film Festival on May 19th, 2013."
523,12218,The Africa Cup of Nations had its branding changed to avoid conflict with the World Cup.
524,188637,"Foot Locker operates in 28 countries worldwide, including China."
525,31813,Alberto Contador initially won the 2011 Giro d'italia with team Saxo Bank-SunGard.
526,222725,Vedic Sanskrit is an ancient language dating at least as far back as the second millennium BCE.
527,169328,Hammer Film Productions produced Let Me In in the United States in 2010.
528,108315,The Danish language is spoken in North America.
529,2295,Richard LaGravenese directed the film P.S I Love You (film).
530,227772,"Lyon had a population of 506,615 in 2011."
531,144993,A relative of Elizabeth I was executed.
532,92586,Firefox is one of the most popular web browsers.
533,62817,The Cyclades are 110 miles southeast of mainland Greece.
534,127777,Exotic Birds achieved mostly local failure.
535,32534,Japan is in Asia.
536,132180,B. R. Ambedkar won a grant.
537,194247,Coins of the Swiss franc are used in Liechtenstein.
538,9868,Google Search shows home listings.
