,player_name,_col_1
29,Jarell Eddie,"Tampa, Florida"
30,A.J. Price,"To answer the question about the birthplace of each player, I would need to look up the birthplace information for each player. Based on available data, here are the answers:

A.J. Price - Born in Orange, New Jersey
Aaron Brooks - Born in Seattle, Washington
Adreian Payne - Born in Dayton, Ohio
Al Jefferson - Born in Monticello, Mississippi
Al-Farouq Aminu - Born in Atlanta, Georgia

So, the answer would be:
Orange, New Jersey"
31,Sebastian Telfair,New York City
32,Francisco Garcia,"Santo Domingo, Dominican Republic"
33,Patty Mills,"Canberra, Australia"
34,Omer Asik,"Bursa, Turkey"
35,Kawhi Leonard,"Los Angeles, California"
36,Denzel Valentine," Lansing, Michigan"
37,Quincy Miller, Tyler
38,DeAndre Liggins,"To answer the question about the birthplace of each player, I would need to look up the birthplace information for each player. Here are the answers:


DeAndre Liggins - Chicago, Illinois
DeAndre' Bembry - Charlotte, North Carolina
Denzel Valentine - Lansing, Michigan
Deron Williams - Parkersburg, West Virginia
Deyonta Davis - Muskegon, Michigan


So the answer is: Chicago, Illinois"
39,Hollis Thompson,Pasadena
40,Grant Jerrett,La Verne
41,Josh McRoberts," Indianapolis, Indiana"
42,Gary Harris,"To answer the question about the birthplace of the player, I would need to know the birthplace of each player. Based on available information, here are the answers:

Gary Harris - Indianapolis, Indiana
Glen Davis - Baton Rouge, Louisiana
Grant Jerrett - La Verne, California
Henry Sims - Baltimore, Maryland
Hollis Thompson - Pasadena, California

So, the answer would be: Indianapolis"
43,Jonas Jerebko," Borås, Sweden"
44,John Henson,"To answer the question about the birthplace of each player, I would need to look up the birthplace information for each player. Based on available data, here are the answers:

John Henson - Lansing, Michigan (or just ""Lansing, Michigan"" as per the request for only the birthplace)
Jon Leuer - Long Lake, Minnesota (or just ""Long Lake, Minnesota"")
Jonas Jerebko - Kinna, Sweden (or just ""Kinna, Sweden"" but more commonly known as Borås, Sweden, however I will use ""Borås"" as that is the city the player is from, ""Kinna"" is not the city the player is from, I will use ""Borås, Sweden"" or just ""Borås"")
Jordan McRae - Savannah, Georgia (or just ""Savannah, Georgia"")
Josh McRoberts - Indianapolis, Indiana (or just ""Indianapolis, Indiana"")

So the answer is: Lansing, Michigan"
45,Kendall Marshall,"Dumfries, Virginia"
46,PJ Tucker,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given players. Here are the answers:

PJ Tucker - Raleigh, North Carolina
Patrick McCaw - St. Louis, Missouri
Patty Mills - Canberra, Australia
Pau Gasol - Sant Boi de Llobregat, Spain
Pero Antic - Skopje, Macedonia

So, the answer is: Raleigh, North Carolina"
47,Adreian Payne,"Dayton, Ohio"
48,Nicolas Batum,"Lisieux, France"
49,Marc Gasol," Barcelona, Spain"
50,Chase Budinger,Encinitas
51,Cristiano Felicio,"Pouso Alegre, Brazil"
52,Kevon Looney,Milwaukee
53,Rajon Rondo, Chicago
54,Pau Gasol,"Sant Boi de Llobregat, Spain"
55,Martell Webster," Edmonds, Washington"
56,Brandon Jennings," Compton, California"
57,Dario Saric,"Sibenik, Croatia"
58,Blake Griffin," Oklahoma City, Oklahoma"
59,Malcolm Brogdon,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given names. Here are the answers:

Malcolm Brogdon - Atlanta, Georgia
Marc Gasol - Barcelona, Spain
Marcus Smart - Flower Mound, Texas
Marquese Chriss - Sacramento, California
Martell Webster - Edmonds, Washington

So, the answer is: Atlanta, Georgia"
60,Perry Jones III,"To answer the question about the birthplace of each player, I would need to look up the birthplace information for each player. Based on available data, here are the answers:

Perry Jones III: Winnsboro, Louisiana (but I'll just return ""Winnsboro, Louisiana"" is not what you want, I will return ""Winnsboro"" is not correct either, I will return the city and state) 
Quincy Acy: Tyler, Texas 
Quincy Miller: Chicago, Illinois 
Rajon Rondo: Louisville, Kentucky 
Raul Neto: Belo Horizonte, Brazil 

However, the output should be separated by '"
61,Kevin Durant,"To answer the question about the birthplace of the player, I would need to know the birthplace of each player. Based on my knowledge, here are the answers:

Kevin Durant - Suitland, Maryland
Kevin Martin - Zanesville, Ohio
Kevon Looney - Milwaukee, Wisconsin
LaMarcus Aldridge - Dallas, Texas
Larry Drew II - Anaheim, California

So, the answer would be: Suitland"
62,Joe Ingles," Happy Valley, Australia"
63,Ed Davis,Washington
64,Solomon Hill,Cincinnati
65,Deyonta Davis," Muskegon, Michigan"
66,Shane Larkin,St. Petersburg
67,CJ Watson,"To answer the question about the birthplace of the player, I would need to know the birthplace of each player. Based on my research, here are the answers:

CJ Watson - Las Vegas, Nevada
Cameron Payne - Memphis, Tennessee
Carl Landry - Milwaukee, Wisconsin
Chase Budinger - Encinitas, California
Chris Copeland - Orange, New Jersey

So, the answer would be:
Las Vegas"
68,Terry Rozier,Memphis
69,Carl Landry,Milwaukee
70,Timofey Mozgov,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given names. Here are the answers:

Terry Rozier - Youngstown, Ohio
Timofey Mozgov - Stavropol, Russia (now officially known as Stavropol Krai, but the city itself is just Stavropol)
Troy Daniels - Roanoke, Virginia
Troy Williams - Virginia
Zoran Dragic - Ljubljana, Slovenia

So, the answer is: Youngstown, Ohio"
71,Reggie Williams,"To answer the question about the birthplace of each player, I would need to look up the birthplace information for each of the given players. Based on available data:

- Ray McCallum was born in Detroit, Michigan
- Reggie Williams was born in Prince George, Virginia (note: there might be multiple individuals with this name, but based on a well-known basketball player with this name)
- Robin Lopez was born in North Hollywood, California
- Rudy Gay was born in Brooklyn, New York
- Russ Smith was born in New York City, New York

Given the instruction to return a string containing only the birthplace, the answer would be:

Detroit"
72,Robin Lopez,Prince George
73,Russ Smith,Brooklyn
74,J.J. Barea,"Mayagüez, Puerto Rico"
75,Troy Daniels, Stavropol
76,Marcus Smart," Flower Mound, Texas"
77,Briante Weber," Chesapeake, Virginia"
78,Danny Granger,"New Orleans, Louisiana"
79,Aaron Brooks,"Seattle, Washington"
80,Dwyane Wade,Chicago
81,Al-Farouq Aminu,"Atlanta, Georgia"
82,Alan Anderson,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given names. Here are the answers:

Alan Anderson - Windsor, Connecticut (but I will only return ""Windsor, Connecticut"" without any additional text as per your request, so: Windsor, Connecticut)
Blake Griffin - Oklahoma City, Oklahoma (returning: Oklahoma City, Oklahoma)
Brandon Jennings - Compton, California (returning: Compton, California)
Briante Weber - Chesapeake, Virginia (returning: Chesapeake, Virginia)
Brook Lopez - North Hollywood, California (returning: North Hollywood, California)

So, the answer is: Windsor, Connecticut"
83,Chris Copeland,Orange
84,Al Jefferson,"Monticello, Mississippi"
85,Tarik Black,Harvey
86,Chris McCullough,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given names. Here are the answers:

Chris McCullough - Bronx, New York
Cristiano Felicio - Pouso Alegre, Brazil
Danny Granger - New Orleans, Louisiana
Dario Saric - Sibenik, Croatia
Davis Bertans - Valmiera, Latvia

So, the answer is: Bronx, New York"
87,Elfrid Payton,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given names. Here are the answers:

Elfrid Payton - Gretna, Louisiana
Emmanuel Mudiay - Kinshasa, Zaire (now Democratic Republic of the Congo)
Erick Green - Inglewood, California
Evan Turner - Chicago, Illinois
Francisco Garcia - Santo Domingo, Dominican Republic

So, the answer is: Gretna, Louisiana"
88,LaMarcus Aldridge,Dallas
89,Jason Terry,"Seattle, Washington"
90,Patrick McCaw,"St. Louis, Missouri"
91,Pero Antic,"Skopje, Macedonia"
92,Jordan McRae," Savannah, Georgia"
93,Jeff Taylor,"Nørresundby, Denmark"
94,Domantas Sabonis,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given names. Here are the answers:

Domantas Sabonis - Portland, Oregon
Doug McDermott - Grand Forks, North Dakota
Dwyane Wade - Chicago, Illinois
E'Twaun Moore - East Chicago, Indiana
Ed Davis - Washington, D.C.

So, the answer is: Portland"
95,Jon Leuer," Long Lake, Minnesota"
96,Mindaugas Kuzminskas,"Vilnius, Lithuania"
97,Jodie Meeks," Norcross, Georgia"
98,Larry Drew II,Anaheim
99,Jerian Grant,"To answer the question about the birthplace of each player, I'll need to look up the birthplace for each of the given names. Here are the answers:

Jerian Grant - Bowie, Maryland
Jodie Meeks - Norcross, Georgia
Joe Ingles - Happy Valley, Australia
Joe Johnson - Little Rock, Arkansas
Joel Anthony - Montreal, Canada

So, the answer is: Bowie, Maryland"
