rotten_tomatoes_link,movie_title,movie_info,genre,runtime,original_release_date,is_drama,is_comedy,before_2000,over_2h,originalLanguage,written_in_german
m/1087341-winslow_boy,The Winslow Boy,"When 14-year-old Ronnie Winslow (Guy Edwards) is expelled from the Royal Naval College for theft, his father, Arthur (Nigel Hawthorne), is convinced that Ronnie was wrongly accused. After acquiring the talented lawyer Sir Robert Morton (Jeremy Northam), Arthur doggedly pursues the case, which becomes a sensationalized public story. As the case wears on, the Winslows' finances are drained, adversely affecting the older Winslow children, Dickie (Matthew Pidgeon) and Catherine (Rebecca Pidgeon).",Drama,104.0,1999-04-30,True,False,True,False,English (United Kingdom),False
m/1119037-nicholas_nickleby,Nicholas Nickleby,"After the death of the family patriarch, young Nicholas Nickleby (Charlie Hunnam) and his family are left with no means to survive. The family is forced to split up, and Nicholas lands in a school run by brutish principal Wackford Squeers (Jim Broadbent). Eventually, Nicholas makes a friend named Smike (Jamie Bell), and the two boys break free. Nicholas reunites with his family, but learns he must now defend his sister from the advances of menacing suitor Sir Mulberry Hawk (Edward Fox).",Drama,138.0,2002-12-27,True,False,False,True,English (Australia),False
m/1162559-bobby,Bobby,"In 1968 the lives of a retired doorman (Anthony Hopkins), hotel manager (William H. Macy), lounge singer (Demi Moore), busboy (Freddy Rodriguez), beautician (Sharon Stone) and others intersect in the wake of Robert F. Kennedy's assassination at the Ambassador Hotel in Los Angeles.",Drama,119.0,2006-11-23,True,False,False,False,English,False
m/1162724-coastlines,Coastlines,"Sonny (Timothy Olyphant) had to be strong to endure prison. By the time he arrives home to a small coastal town, he has developed a deep-rooted look of determination. But for what is unclear. A beef with the local underworld kingpin for whom he took a fall? Or is it to lay claim to his love for Ann (Sarah Wynter), now married to his best friend, the local sheriff (Josh Brolin). Sonny's return begins as a quiet rain that soon kicks up a storm that rocks the very foundation of the town.",Drama,119.0,2006-05-31,True,False,False,False,English,False
m/1211183-extract,Extract,"The owner of a factory that produces flavor extracts, Joel Reynold (Jason Bateman) seems to have it all, but really doesn't. What's missing is sexual attention from his wife, Suzie (Kristen Wiig). Joel hatches a convoluted plan to get Suzie to cheat on him, thereby clearing the way for Joel to have an affair with Cindy (Mila Kunis), an employee. But what Joel doesn't know is that Cindy is a sociopathic con artist, and a freak workplace accident clears the way for her to ruin Joel forever.",Comedy,91.0,2009-09-04,False,True,False,False,English,False
m/21_grams,21 Grams,"In a film that plays with the idea of straightforward storytelling, a group of troubled people find that they are linked in unpredictable ways. Paul Rivers (Sean Penn) is an academic dealing with a terminal heart condition, but his life is changed by a car crash that seems unrelated to his ailment. The traffic accident, involving ex-con Jack Jordan (Benicio Del Toro) and the husband of Cristina Peck (Naomi Watts), is one that ruins lives but ultimately also resurrects them.",Drama,125.0,2003-11-21,True,False,False,True,English,False
m/25th_hour,25th Hour,"In New York City in the days following the September 11, 2001, terrorist attacks, Monty Brogan (Edward Norton) steels himself for a lengthy jail term. Brogan is a convicted drug dealer about to start a seven-year prison sentence, and his final hours of freedom are devoted to hanging out with his closest buddies (Philip Seymour Hoffman, Barry Pepper) and trying to prepare his girlfriend, Naturelle Riviera (Rosario Dawson), for his extended absence.",Drama,134.0,2003-01-10,True,False,False,True,English,False
m/a_guide_to_recognizing_your_saints,A Guide to Recognizing Your Saints,"Dito Montiel (Robert Downey Jr.), a successful author, receives a call from his long-suffering mother (Dianne Wiest), asking him to return home and visit his ailing father. Dito recalls his childhood growing up in a violent neighborhood in Queens, N.Y., with friends Antonio (Channing Tatum), Giuseppe, Nerf and Mike.",Drama,104.0,2006-09-29,True,False,False,False,English,False
m/aint_them_bodies_saints_2013,Ain't Them Bodies Saints,"A man (Casey Affleck) takes the fall for his lover's (Rooney Mara) crime, then four years later breaks out of prison to find her and their young daughter, who was born during his incarceration.",Drama,95.0,2013-08-16,True,False,False,False,English,False
m/alex_of_venice,Alex of Venice,"After her stay-at-home husband (Chris Messina) leaves her, a workaholic lawyer (Mary Elizabeth Winstead) finds that she is not completely up to the tasks of caring for her young son, ailing father (Don Johnson) and household all by herself.",Drama,86.0,2015-04-17,True,False,False,False,English,False
m/american_gigolo,American Gigolo,"Julian (Richard Gere), a gigolo, commands high prices for his services, living a lavish if emotionally unattached lifestyle under the management of Anne (Nina van Pallandt). While secretly working for pimp Leon (Bill Duke), Julian is assigned to service Mr. Rheiman (Tom Stewart) and his wife, Judy (Patti Carr), but leaves when their violent requests make him nervous. When Mrs. Rheiman is found dead and no one is willing to testify on his behalf, Julian finds himself the primary suspect.",Drama,117.0,1980-02-01,True,False,True,False,English,False
m/american_hustle,American Hustle,"Irving Rosenfeld (Christian Bale) dabbles in forgery and loan-sharking, but when he falls for fellow grifter Sydney Prosser (Amy Adams), things change in a big way. Caught red-handed by FBI agent Richie DiMaso (Bradley Cooper), Irv and Sydney are forced to work under cover as part of DiMaso's sting operation to nail a New Jersey mayor (Jeremy Renner). Meanwhile, Irv's jealous wife (Jennifer Lawrence) may be the one to bring everyone's world crashing down. Based on the 1970s Abscam case.",Drama,138.0,2013-12-20,True,False,False,True,English,False
m/american_pastoral,American Pastoral,"Seymour Swede Levov (Ewan McGregor) is a once legendary high school athlete who is now a successful businessman married to Dawn (Jennifer Connelly), a former beauty queen. When his beloved teenage daughter (Dakota Fanning) disappears after being accused of committing a violent act, Swede dedicates himself to finding her and reuniting his family. What he discovers shakes him to the core, forcing him to look beneath the surface and confront the chaos that is shaping the world around him.",Drama,108.0,2016-10-21,True,False,False,False,English,False
m/anything_else,Anything Else,A writer (Jason Biggs) has problems with his live-in girlfriend (Christina Ricci) and an obsessive teacher (Woody Allen) with a history of mental illness.,Comedy,108.0,2003-09-19,False,True,False,False,English,False
m/at_any_price_2012,At Any Price,"An ambitious Iowa seed farmer (Dennis Quaid) tries to get his resentful son (Zac Efron) interested in the family business, but the young man would rather pursue a career in auto racing.",Drama,105.0,2013-04-24,True,False,False,False,English,False
m/babel,Babel,"An accident connects four groups of people on three different continents: two young Moroccan goatherds, a vacationing American couple (Brad Pitt, Cate Blanchett), a deaf Japanese teen and her father, and a Mexican nanny who takes her young charges across a border without parental permission.",Drama,142.0,2006-10-27,True,False,False,True,French (Canada),False
m/bad_words,Bad Words,"Guy Trilby (Jason Bateman), a 40-year-old misanthrope, makes waves at a regional spelling bee when, due to a loophole in the rules, he is allowed to enter -- and later wins. Hurling insults at every turn, Guy advances to the national contest in Los Angeles, accompanied by a reporter (Kathryn Hahn) who wants to discover his hidden motives for entering the bee. As the competition gears up, friendless Guy inexplicably forms a bond with a young speller who is feeling parental pressure to win.",Comedy,85.0,2014-03-28,False,True,False,False,English,False
m/baseketball,BASEketball,"When slacker friends Joe Cooper (Trey Parker) and Doug Remer (Matt Stone) are challenged to a pickup basketball game against some jocks, they counter by proposing to play a game they learned called ""BASEketball,"" which combines basketball and baseball. In reality, they are improvising all of the rules, but somehow the sport becomes a hit. A promoter (Ernest Borgnine) forms a popular league, but after his death a rival owner (Robert Vaughn) wants to change the rules to increase profits.",Comedy,103.0,1998-07-31,False,True,True,False,English,False
m/bird,Bird,"Director Clint Eastwood, a noted jazz aficionado, directs this heartfelt study of pioneering bop saxophonist Charlie Parker (Forest Whitaker). Moving forward and backward through Parker's brief life before his death of a heroin overdose at age 34, the film foregrounds the saxophonist's difficult relationship with his wife, Chan Parker (Diane Venora), but also features lengthy scenes of Parker improvising on stage, lit with the neon and cigarette smoke of vintage jazz clubs.",Drama,161.0,1988-10-01,True,False,True,True,English,False
m/breathless,Breathless,"Petty thug Michel (Jean-Paul Belmondo) considers himself a suave bad guy in the manner of Humphrey Bogart, but panics and impulsively kills a policeman while driving a stolen car. On the lam, he turns to his aspiring journalist girlfriend, Patricia (Jean Seberg), hiding out in her Paris apartment while he tries to pull together enough money to get the pair to Italy. But when Patricia learns that her boyfriend is being investigated for murder, she begins to question her loyalties.",Drama,90.0,1961-02-07,True,False,True,False,Korean,False
m/bronx_tale,A Bronx Tale,"As he grows into a teenager on the streets of the Bronx in the socially turbulent 1960s, Calogero (Lillo Brancato) gets taken under the wing of neighborhood mobster Sonny (Chazz Palminteri). Sonny initiates the boy into the ways of gangland life, in direct conflict with his straight-arrow bus driver father (Robert De Niro). But when Calogero falls for his African-American classmate, Jane (Taral Hicks), the repercussions threaten the entire neighborhood.",Drama,122.0,1993-01-01,True,False,True,True,English,False
m/carrie,Carrie,"High school can be tough for many teenagers, but for Carrie White (Chloë Grace Moretz), it's especially hellish. A shy and awkward teen being raised by a religious zealot (Julianne Moore), Carrie is frequently the target of bullies. But Carrie has a secret talent: She can make things move with her mind. One fateful night, an especially cruel prank at her senior prom pushes her over the edge, and Carrie unleashes her telekinetic powers on all who get in her way.",Horror,99.0,2013-10-18,False,False,False,False,English,False
m/certain_women_2016,Certain Women,"Three strong-willed women (Kristen Stewart, Laura Dern, Michelle Williams) strive to forge their own paths amidst the wide-open plains of the American Northwest: a lawyer who finds herself contending with both office sexism and a hostage situation; a wife and mother whose determination to build her dream home puts her at odds with the men in her life; and a young law student who forms an ambiguous bond with a lonely ranch hand.",Drama,107.0,2016-10-14,True,False,False,False,English,False
m/dead_poets_society,Dead Poets Society,"A new English teacher, John Keating (Robin Williams), is introduced to an all-boys preparatory school that is known for its ancient traditions and high standards. He uses unorthodox methods to reach out to his students, who face enormous pressures from their parents and the school. With Keating's help, students Neil Perry (Robert Sean Leonard), Todd Anderson (Ethan Hawke) and others learn to break out of their shells, pursue their dreams and seize the day.",Drama,128.0,1989-06-02,True,False,True,True,English,False
m/dont_think_twice,Don't Think Twice,"Turmoil strikes a New York improv troupe (Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia) when one member leaves to star in a television show.",Comedy,88.0,2016-07-22,False,True,False,False,English,False
m/doors,The Doors,"After a psychedelic experience in the California desert, Jim Morrison (Val Kilmer), lead singer of The Doors, and his bandmates begin performing in Los Angeles and quickly become a sensation. However, when Jim begins ditching his musical responsibilities and his girlfriend, Pamela (Meg Ryan), in favor of his dangerous addictions and the affections of the seductive, occult-obsessed Patricia (Kathleen Quinlan), the band starts to worry about their leader.",Drama,135.0,1991-03-01,True,False,True,True,English,False
m/empire_of_the_sun,Empire of the Sun,"Jamie Graham (Christian Bale), a privileged English boy, is living in Shanghai when the Japanese invade and force all foreigners into prison camps. Jamie is captured with an American sailor named Basie (John Malkovich), who looks out for him while they are in the camp together. Even though he is separated from his parents and in a hostile environment, Jamie maintains his dignity and youthful spirits, providing a beacon of hope for the others held captive with him.",Drama,152.0,1987-12-09,True,False,True,True,English,False
m/everybody_wants_some,Everybody Wants Some!!,"In 1980 Texas, a college freshman (Blake Jenner) meets his new baseball teammates (Will Brittain, Ryan Guzman), an unruly group of disco-dancing, skirt-chasing partyers.",Comedy,116.0,2016-04-08,False,True,False,False,English,False
m/eves_bayou,Eve's Bayou,"Over the course of a long, hot Louisiana summer, a 10-year-old black girl, Eve Batiste (Jurnee Smollett), discovers that her family's affluent existence is merely a facade. The philandering of her suave doctor father, Louis (Samuel L. Jackson), creates a rift, throwing Eve's mother, Roz (Lynn Whitfield), and teenage sister, Cisely (Meagan Good), into emotional turmoil. Eve, though, manages to find some solace with her quirky psychic aunt, Mozelle (Debbi Morgan).",Drama,109.0,1996-06-01,True,False,True,False,English,False
m/film_geek,Film Geek,A socially inept cinephile (Melik Malkasian) is obsessed with a downtown gal (Tyler Gannon) whose ex-boyfriend will not let go.,Comedy,78.0,2005-01-28,False,True,False,False,English,False
m/flirting_with_disaster,Flirting With Disaster,"Adopted as a child, new father Mel Colpin (Ben Stiller) decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. Accompanied by his wife, Nancy (Patricia Arquette), and an inept yet gorgeous adoption agent, Tina (Tea Leoni), he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck ATF agents (Josh Brolin, Richard Jenkins).",Comedy,92.0,1996-03-22,False,True,True,False,English,False
m/grandma_2015,Grandma,A misanthropic poet (Lily Tomlin) takes her granddaughter (Julia Garner) across Los Angeles in search of the money she needs to terminate her unwanted pregnancy.,Comedy,78.0,2015-08-21,False,True,False,False,English,False
m/he_got_game,He Got Game,"Jake Shuttleworth (Denzel Washington) has spent the last six years in prison after accidentally killing his wife during a violent domestic dispute, leaving his son, star basketball prospect Jesus Shuttleworth (Ray Allen), to fend for himself. One day, the prison warden (Ned Beatty) approaches Jake with an unusual offer: He'll be given a week of parole to convince Jesus to attend the governor's alma mater, with the promise of a shortened sentence if he succeeds.",Drama,134.0,1998-05-01,True,False,True,True,English,False
m/heavy,Heavy,"A shy, overweight pizza maker (Pruitt Taylor Vince) likes a teenage waitress (Liv Tyler) at his mother's (Shelley Winters) roadside tavern.",Drama,105.0,1996-06-07,True,False,True,False,English,False
m/hellraiser,Hellraiser,"Sexual deviant Frank (Sean Chapman) inadvertently opens a portal to hell when he tinkers with a box he bought while abroad. The act unleashes gruesome beings called Cenobites, who tear Frank's body apart. When Frank's brother (Andrew Robinson) and his wife, Julia (Clare Higgins), move into Frank's old house, they accidentally bring what is left of Frank back to life. Frank then convinces Julia, his one-time lover, to lure men back to the house so he can use their blood to reconstruct himself.",Horror,90.0,1987-09-18,False,False,True,False,English,False
m/higher_ground_2011,Higher Ground,A fundamentalist's (Vera Farmiga) lifelong struggle with tenets of her church comes to a head in the wake of a tragedy involving her best friend (Dagmara Dominczyk).,Drama,114.0,2011-08-26,True,False,False,False,English,False
m/i_think_i_love_my_wife,I Think I Love My Wife,"Attraction to a free-spirited woman (Kerry Washington) causes a man (Chris Rock) to question the happiness he feels with his family. Nikki makes all of Richard's daydreams come true, but his busy. career-driven wife Brenda (Gina Torres) barely has time for him.",Comedy,94.0,2007-03-16,False,True,False,False,English,False
m/ice_storm,The Ice Storm,"In the 1970s, an outwardly wholesome family begins cracking at the seams over the course of a tumultuous Thanksgiving break. Frustrated with his job, the father, Ben (Kevin Kline), seeks fulfillment by cheating on his wife, Elena (Joan Allen), with neighborhood seductress Janey (Sigourney Weaver). Their teenage daughter, Wendy (Christina Ricci), dabbles in sexual affairs too -- with Janey's son Mikey (Elijah Wood). The family's strained relations continue to tauten until an ice storm strikes.",Drama,113.0,1997-09-26,True,False,True,False,English,False
m/im_so_excited,I'm So Excited!,"Neurotic passengers (Antonio de la Torre, Hugo Silva) have weird encounters aboard a malfunctioning plane bound for Mexico.",Comedy,89.0,2013-06-28,False,True,False,False,Spanish (Spain),False
m/in_the_mouth_of_madness,In the Mouth of Madness,"When horror novelist Sutter Cane (Jürgen Prochnow) goes missing, insurance investigator John Trent (Sam Neill) scrutinizes the claim made by his publisher, Jackson Harglow (Charlton Heston), and endeavors to retrieve a yet-to-be-released manuscript and ascertain the writer's whereabouts. Accompanied by the novelist's editor, Linda Styles (Julie Carmen), and disturbed by nightmares from reading Cane's other novels, Trent makes an eerie nighttime trek to a supernatural town in New Hampshire.",Horror,95.0,1995-02-03,False,False,True,False,English,False
m/in_the_name_of_the_father,In the Name of the Father,"Unemployed young Irishman Gerry Conlon (Daniel Day-Lewis) gets by as a petty thief in 1970s Belfast. When local IRA leaders get fed up with him, he flees to England and meets up with his friend Paul Hill (John Lynch). On the same night that the IRA bombs a nearby pub, the friends get kicked out of their communal digs and are forced to sleep in a park. He returns to Belfast, but is arrested as the prime suspect in the bombing and imprisoned, where he spends 15 years trying to clear his name.",Drama,132.0,1993-12-29,True,False,True,True,English,False
m/in_the_valley_of_elah,In the Valley of Elah,"A police detective (Charlize Theron) helps a retired Army sergeant (Tommy Lee Jones) search for his son, a soldier who went missing soon after returning from Iraq. Hank Deerfield, a Vietnam War veteran, learns that his son may have met with foul play after a night on the town with members of his platoon.",Drama,121.0,2007-09-28,True,False,False,True,English,False
m/indignation,Indignation,A Jewish college student (Logan Lerman) falls for a young woman (Sarah Gadon) while clashing with his dean (Tracy Letts) in 1951 Ohio.,Drama,110.0,2016-07-29,True,False,False,False,English,False
m/james_white,James White,A young New Yorker (Christopher Abbott) struggles to control his reckless behavior as his mother (Cynthia Nixon) battles cancer.,Drama,86.0,2015-11-13,True,False,False,False,English,False
m/joe_2013,Joe,The rough-hewn boss (Nicolas Cage) of a lumber crew courts trouble when he steps in to protect the youngest member (Tye Sheridan) of his team from an abusive father.,Drama,117.0,2014-04-11,True,False,False,False,English,False
m/joshy,Joshy,"Four months after the suicide of his fiancee (Alison Brie), a man (Thomas Middleditch) and his buddies (Adam Pally, Alex Ross Perry) decide to move forward with plans for a wild bachelor party.",Comedy,93.0,2016-08-12,False,True,False,False,English,False
m/laggies,Laggies,"When 28-year-old Megan (Keira Knightley) attends her 10-year high-school reunion, she realizes that very little in her life has changed. An unexpected marriage proposal from her boyfriend sparks a panic in Megan, causing her to wander off into the night. She meets 16-year-old Annika (Chloë Grace Moretz) who is with friends and proceeds to get drunk with the teens. Deciding she needs a break from her unfulfilling life, she tells her boyfriend she's going to a seminar but hangs with Annika.",Drama,100.0,2014-10-24,True,False,False,False,English,False
m/last_station,The Last Station,"In 1910, famed novelist Leo Tolstoy (Christopher Plummer) and his wife Sofya (Helen Mirren) vehemently disagree over the rights to Tolstoy's literary legacy. Sofya believes her husband should bequeath them to her upon his death, while Tolstoy's chief disciple, Chertkov (Paul Giamatti), has nearly convinced the writer to sign the rights over to the Russian people. To this end, Chertkov inserts a spy into Tolstoy's household, who promptly falls for one of the novelist's daughters.",Drama,110.0,2010-01-15,True,False,False,False,English,False
m/letters_from_iwo_jima,Letters from Iwo Jima,"Long-buried missives from the island reveal the stories of the Japanese troops who fought and died there during World War II. Among them are Saigo (Kazunari Ninomiya), a baker; Baron Nishi (Tsuyoshi Ihara), an Olympic champion; and Shimizu (Ryô Kase), an idealistic soldier. Though Lt. Gen. Tadamichi Kuribayashi (Ken Watanabe) knows he and his men have virtually no chance of survival, he uses his extraordinary military skills to hold off American troops as long as possible.",Drama,141.0,2006-12-20,True,False,False,True,Japanese,False
m/little_men_2016,Little Men,"Two teens develop a growing friendship in Brooklyn, N.Y., while the feud between their respective parents (Greg Kinnear, Jennifer Ehle) continues to escalate.",Drama,85.0,2016-08-05,True,False,False,False,English,False
m/lord_of_illusions,Lord of Illusions,"Private eye Harry D'Amour (Scott Bakula) travels to Los Angeles and meets with a new client, Dorothea Swann (Famke Janssen). Swann reveals that she and her husband -- famed magician Philip Swann (Kevin J. O'Connor) -- have been targeted by a religious cult experimenting with reincarnation. After Philip dies on stage in the midst of a dangerous trick, D'Amour must struggle to protect Dorothea from the ruthless cult members and their newly reanimated religious leader, Nix (Daniel Von Bargen).",Horror,108.0,1995-08-25,False,False,True,False,English,False
m/louder_than_bombs_2016,Louder Than Bombs,"A widower (Gabriel Byrne) and his two sons must cope with new details about the death of his wife (Isabelle Huppert), a famed war photographer.",Drama,109.0,2016-04-08,True,False,False,False,Polish,False
m/lucky_numbers,Lucky Numbers,"Russ Richards (John Travolta) is a TV weatherman and local celebrity on the verge of losing his shirt. Desperate to escape financial ruin, he schemes with Crystal (Lisa Kudrow) the TV station's lotto ball girl to rig the state lottery drawing. The numbers come up right, but everything else goes wrong as the plan starts to unravel and the game turns rough.",Comedy,105.0,2000-10-27,False,True,False,False,English,False
m/macbeth-1972,Macbeth,"Proud Macbeth (Jon Finch) and his power-mad wife (Francesca Annis) plot to murder King Duncan (Nicholas Selby) and usurp the throne of Scotland, despite the increasing suspicions of Macbeth's rival, Macduff (Terence Baylor), and his once-loyal friend Banquo (Martin Shaw). Roman Polanski directed this violent and sexualized revision of William Shakespeare's tragedy of madness and political intrigue, financed by executive producer Hugh Hefner, publisher of Playboy magazine.",Drama,140.0,1971-10-13,True,False,True,True,English,False
m/manchester_by_the_sea,Manchester by the Sea,"After the death of his older brother Joe, Lee Chandler (Casey Affleck) is shocked that Joe has made him sole guardian of his teenage nephew Patrick. Taking leave of his job as a janitor in Boston, Lee reluctantly returns to Manchester-by-the-Sea, the fishing village where his working-class family has lived for generations. There, he is forced to deal with a past that separated him from his wife, Randi (Michelle Williams), and the community where he was born and raised.",Drama,137.0,2016-12-16,True,False,False,True,English,False
m/middle_of_nowhere,Middle of Nowhere,A med student (Emayatzy Corinealdi) considers leaving her long-imprisoned husband (Omari Hardwick) for a charming bus driver (David Oyelowo).,Drama,101.0,2012-10-12,True,False,False,False,Spanish,False
m/midsummer_nights_sex_comedy,A Midsummer Night's Sex Comedy,"Andrew (Woody Allen), an eccentric inventor, joins his wife, Adrian (Mary Steenburgen), for a weekend at the New England country estate of her cousin, Leopold (Jose Ferrer), a wealthy charmer. They are soon joined by a playboy physician (Tony Roberts) and his spirited younger girlfriend (Julie Hagerty). As the long summer weekend wears on, sexual sparks begin to fly between Andrew and Leopold's young fiancée, Ariel (Mia Farrow), with unforeseen consequences for everyone.",Comedy,90.0,1982-07-16,False,True,True,False,English,False
m/mist,The Mist,"After a powerful storm damages their Maine home, David Drayton (Thomas Jane) and his young son head into town to gather food and supplies. Soon afterward, a thick fog rolls in and engulfs the town, trapping the Draytons and others in the grocery store. Terror mounts as deadly creatures reveal themselves outside, but that may be nothing compared to the threat within, where a zealot (Marcia Gay Harden) calls for a sacrifice.",Horror,125.0,2007-11-21,False,False,False,True,English,False
m/modern_romance,Modern Romance,"A film editor (Albert Brooks) breaks up and makes up with his girlfriend (Kathryn Harrold), unsure if he is in love.",Comedy,93.0,1981-03-13,False,True,True,False,English,False
m/mommy_2015,Mommy,"A peculiar neighbor (Suzanne Clément) offers hope to a recent widow (Anne Dorval) who is struggling to raise a teenager (Antoine-Olivier Pilon) who is unpredictable and, sometimes, violent.",Drama,139.0,2015-01-23,True,False,False,True,French (Canada),False
m/mother_of_george_2013,Mother Of George,"Ayodele (Isaach De Bankolé) and Adenike (Danai Gurira) marry and start a new life. As months pass without a pregnancy, Adenike feels torn between her Yoruba culture and her new life in America, struggling to save her marriage.",Drama,107.0,2013-09-13,True,False,False,False,English,False
m/mr_turner,Mr. Turner,"Eccentric British painter J.M.W. Turner (Timothy Spall) lives his last 25 years with gusto and secretly becomes involved with a seaside landlady, while his faithful housekeeper (Dorothy Atkinson) bears an unrequited love for him.",Drama,149.0,2014-12-19,True,False,False,True,English,False
m/nebraska,Nebraska,"Cantankerous old buzzard Woody Grant (Bruce Dern) can barely walk down the street of his home in Billings, Mont., without stopping for a drink. So when Woody receives receives a sweepstakes notice in the mail and insists on making a 750-mile trip to Lincoln, Neb., to collect his prize, it falls to baffled son David (Will Forte) to accompany him. During a stop in their Nebraska hometown, word gets out about Woody's fortune, first making him a hero, then later, the target of predatory people.",Drama,114.0,2013-11-15,True,False,False,False,English,False
m/once_upon_a_time_in_america,Once Upon a Time in America,"In 1968, the elderly David ""Noodles"" Aaronson (Robert De Niro) returns to New York, where he had a career in the criminal underground in the '20s and '30s. Most of his old friends, like longtime partner Max (James Woods), are long gone, yet he feels his past is unresolved. Told in flashbacks, the film follows Noodles from a tough kid in a Jewish slum in New York's Lower East Side, through his rise to bootlegger and then Mafia boss -- a journey marked by violence, betrayal and remorse.",Drama,139.0,1984-06-01,True,False,True,True,English,False
m/only_lovers_left_alive,Only Lovers Left Alive,"Artistic, sophisticated and centuries old, two vampire lovers (Tilda Swinton, Tom Hiddleston) ponder their ultimate place in modern society.",Drama,122.0,2014-04-11,True,False,False,True,English,False
m/pariah_2011,Pariah,"Teenage Alike (Adepero Oduye) lives in Brooklyn's Fort Greene neighborhood with her parents (Charles Parnell, Kim Wayans) and younger sister (Sahra Mellesse). A lesbian, Alike quietly embraces her identity and is looking for her first lover, but she wonders how much she can truly confide in her family, especially with her parents' marriage already strained. When Alike's mother presses her to befriend a colleague's daughter (Aasha Davis), Alike finds the gal to be a pleasant companion.",Drama,86.0,2011-12-28,True,False,False,False,English,False
