review_content,review_type,is_fresh
"Kids may well enjoy the adventures of The Lightning Thief on screen, but I think most readers will prefer the movie in their imaginations.",Rotten,False
An attempt to steal some of Harry Potter's thunder that also stands on its own as a well-made large-scale adventure that works well enough to entertain the teens it's hoping to strike.,Fresh,True
"With great effects (and a few surprises) it's a fun, Saturday-matinee adventure.",Fresh,True
Columbus directs with his usual frying pan to the head. Music is forever swelling majestically. Characters are always opening wide their eyes and mouths to gaze in wonder.,Rotten,False
"While this might not rival the later, better Harry Potter movies or the Lord of the Rings trilogy, it's more fun than you might expect.",Fresh,True
"Percy Jackson & the Olympians sounds like an Otis Redding cover band. It is, instead, an unofficial cover of the Harry Potter franchise.",Rotten,False
The movie feels like a cut-rate Potter knockoff with a dash of Ray Harryhausen.,Rotten,False
"In Columbus' hands, it once again all breaks down into a series of rushed, breathless special-effects setpieces, in a thrill ride that isn't headed anywhere new.",Rotten,False
The Lightning Thief makes the idea of a sequel seem like an inviting proposition.,Fresh,True
"Columbus aims at nothing more than providing a rambunctious romp. He nimbly avoids the fate that has snared other film adaptations, like Eragon and Inkheart.",Fresh,True
gets so many things right that when it goes astray that you kind of wish it hadn't tried in the first place,Rotten,False
"The Lightning Thief isn't electric, but it generates some spark when it varies the Grecian formula.",Fresh,True
"Chris Columbus and his crew take a literal approach to spectacle that denies the magnificent use of weirdness and scale that famed stop-action animator Ray Harryhausen brought to such myth-inspired classics as ""Jason and the Argonauts"" (1963)...",Fresh,True
"Even with all its computer-generated fireballs, it's lukewarm medium-budget blockbustering.",Rotten,False
"The disappearance of lightning simply is not interesting, and Percy Jackson and the Olympians sounds more like a '70s funk band than a kid's series.",Rotten,False
Uma Thurman demonstrates she can wear a snake-covered head as gracefully as Pierce Brosnan can trot around with a horse's netherlands.,Fresh,True
The Greek-gods premise lets the filmmakers indulge in some visually whizzy sequences that keep this rather lightweight action movie entertaining.,Fresh,True
"Of all the players, Uma Thurman channels the Bride to deliver a Medusa the children won't easily forget when it comes to bedtime.",Fresh,True
"Enjoyable, nicely paced family adventure with likeable characters, a strong central premise and some decent set-pieces, though the plot's a little hazy in places and the humour doesn't always work.",Fresh,True
"Action movies of this scale often start off strong and wind down to forgettable finales, but Percy Jackson is the opposite, overcoming a clunky setup to deliver nearly all its thrills in the last half-hour.",Fresh,True
The Lightning Thief is all crass ineptitude and lost potential. Columbus' infantilizing of any character depth and use of leftover Harry Potter special effects will amuse only the smallest in your pantheon.,Rotten,False
"The plot is a pretty blatant rehash of the typical ""coming-of-age hero"" tropes. Still, while ""Percy Jackson"" may not end up being the next huge and successful franchise, at the very least, it was an honest and amusing two hours.",Rotten,False
"Young viewers probably will be entertained but even they are likely to realize that this could have and should have been better, especially by the time they're old enough to drive.",Rotten,False
It raises issues it doesn't have the balls to resolve by placing them in a context it doesn't have the brains to exploit.,Rotten,False
Whew boy.,Rotten,False
My problems with it are the same as with most screen adaptations of young adult novels...they spend so much time struggling to explain the world they're creating that they forget which parts of the story people want to see...they figure that people (kids),Rotten,False
Sadly worthy of its dumping into the cinematic boneyard of wintry mid-February.,Rotten,False
"The camera work is frequently pedestrian, the acting is bland, and the jokes often fall flat.",Rotten,False
Director Chris Columbus has brought together the modern and mythical spheres with sharp pacing and a nifty sense of fun that atone for the film's dippier moments. It's his most enjoyable effort since Harry Potter and the Chamber of Secrets.,Fresh,True
"Dutifully Potteresque it begins, and dutifully Potteresque it ends.",Rotten,False
"Has all the CGI sorcery of a Harry Potter pic, but none of the magic.",Rotten,False
Columbus knows his way around this kind of material even if some of the special effects look like they came from Deep Discount.,Rotten,False
"Percy Jackson, you are no Harry Potter. You are not fit to walk in a hobbit's wake.",Rotten,False
Too scary for younger fans of the popular book.,Rotten,False
The pleasant surprise is how deftly the story translates the myths from their classical idiom into modern ones and without losing the classical flavor,Fresh,True
"...great fun for the whole family. And if it introduces you and any young readers in your home to the books, so much the better.",Fresh,True
"Sorry Mr. Jackson, but Harry Potter you ain't.",Rotten,False
"A clunky kid-sized epic, able to conjure colossal acts of Greek myth wonderment, but never brave enough to shut its pie hole and let the audience process the screen magic.",Rotten,False
Harry Potter meets Clash of the Titans … The backdrop of Greek mythology makes an enjoyable change of pace from the medieval fantasy magic of the Potter stories.,Fresh,True
"While winning the award for longest movie title, it is a film that only goes through the motions.",Rotten,False
Not without bright moments ... but the story is centered around a trio of young actors who simply aren't operating at the same skill level as their older costars.,Fresh,True
"Built with set pieces that demonstrate a real affection for Greek myth iconography and centered on a strong performance by Logan Lerman (a star in the making), Percy Jackson & The Olympians aims young and hits the target fairly consistently.",Fresh,True
It's not awful. It's just not particularly inspired. Something tells me this movie won't be inspiring a sequel anytime soon.,Rotten,False
Parental Content Review,Fresh,True
"Harry, Ron and Hermione: Relax. You could whip Percy Jackson and his pals with your wand hands tied behind your backs.",Rotten,False
"The film toggles between high camp and deadly earnestness, all the while threatening to drown in an ocean of not-so-special effects.",Rotten,False
"Likable as Percy may be, it's not lightning he's stolen.",Rotten,False
This is a kids' movie: Parents can either get into the silly-suspenseful spirit of it or play Rummikub on their iPhones.,Fresh,True
"While it certainly isn't terrible, it plays like a low-rent variation of the Harry Potter formula--innocuous but instantly forgettable.",Rotten,False
All you have at the end of it is an enervating feeling of deja vu.,Rotten,False
"Like its stars, the film is genial good company.",Fresh,True
It's apparent that Potter may at last have a worthy successor.,Fresh,True
"Unfortunately, the movie lacks that good old Potter charm, trading Harry's dark whimsy for a handful of CGI magic beans.",Rotten,False
"There are lots of cool surprises along the way, and the special effects are fantastic, especially the ones that create Uma Thurman's Medusa snakedo.",Fresh,True
"Columbus and company have crafted an agreeable mythological jaunt the whole family will enjoy, and while I wouldn't pay more than matinee prices that still means making the quest to the multiplex is a journey worthy of the undertaking.",Fresh,True
Lerman has a presence even with a mouth full of bad dialogue.,Fresh,True
This film is replete with plot holes.,Rotten,False
Some moments of inspired silliness save this escapist adventure from complete dullness.,Rotten,False
"A dull, scattershot affair that owes much to both X-Men and Greek mythology but which never seems to slow down enough to make any sense whatsoever.",Rotten,False
...an agreeable fantasy adventure that should leave fans of the genre satisfied.,Fresh,True
"Director Columbus never quite gets comfortable juggling the film's myriad characters, grandiose-but-stale CGI effects, and PG-friendly battle scenes, speeding headlong through endless plot points rather than taking the time to make any of them matter.",Rotten,False
"This is what a quality book adaptation should do, stand on it's own, while making you want to explore more. But JESUS! Can we stop the Apple Product Placements! I don't want to see a freaking iPhone in a Fantasy film!!!",Fresh,True
"Despite so much epic drama in Greek mythology from which to borrow, here we are given little sense of the magnitude of the clash between the quarrelsome gods...",Rotten,False
"It would be an easy slam review. But if you like big pretty toy commercials, it's plenty of fun.",Fresh,True
"""It is a bit hard to see quite where Percy Jackson and the Lightening Thief's market lies. Too adult for juveniles, too juvenile for adults.",Fresh,True
"there's not one single thing in it that will appeal to a person who has ever seen a mythological origin story before, much less any other sort of adventure movie.",Rotten,False
So trite and ludicrous it is no threat to the Harry Potter franchise,Rotten,False
...an attempt to replicate the phenomenon that is Harry Potter.,Rotten,False
I thought it was mischievous and witty and amusing and I was just sort of drawn into it.,Fresh,True
"Maybe if you're aged between eight and 12, or exceptionally dim-witted, you may not notice that this is a tenth-rate rip-off of Harry Potter, with Greek mythology taking the place of magic.",Rotten,False
"The technical wizardry is spectacular and the story is taut, pacy and consistently inventive.",Fresh,True
"The film is a rousing blend of special effects, but not so scary that children aged seven and above will spend the entire movie hiding behind their fingers.",Fresh,True
Percy Jackson & the Olympians is a dutifully made kids' fantasy film that Columbus handles with the basic approach that he wielded on his faithful but vanilla Harry Potter adaptations.,Rotten,False
"Chris Columbus was a safe choice behind the lens, and he doesn't throw up any surprises. Columbus brings a measured approach that works on the whole, delivering the expected mix of set-ups, set-pieces and edge of your seat showdowns.",Fresh,True
"An imaginative, if simplistic, visit to classical Greek mythology, an archetypal quest by a lad with paternal issues.",Fresh,True
