rotten_tomatoes_link,review_content,movie_title,review_type
m/10,"10's tossed-off quality keeps it from greatness, but it also distinguishes it from the great mass of contemporary comedies smoothed to a shiny, edgeless formula. [Blu-ray]",10,Fresh
m/1000079-20000_leagues_under_the_sea,"As fabulous and fantastic as anything he has ever done in cartoons is Walt Disney's 'live action' movie made from Jules Verne's 20,000 Leagues Under the Sea.","20,000 Leagues Under The Sea",Fresh
m/1000079-20000_leagues_under_the_sea,"Walt Disney's production of 20000 Leagues under the Sea is very special kind of picture, combining photographic ingenuity, imaginative story telling and fiscal daring.","20,000 Leagues Under The Sea",Fresh
m/1000079-20000_leagues_under_the_sea,"A breathtaking piece of entertainment, 20,000 Leagues Under the Sea is amongst the finest live-action films to come out of Disney Studios.","20,000 Leagues Under The Sea",Fresh
m/10000_bc,"In an age where ... audiences reward blood-and-thunder films ... at the box office, greenlighting 10,000 B.C. must have seemed logical. I can imagine someone pitching the film ...by saying ""It's like 300 .... + 9,700!""","10,000 B.C.",Rotten
m/10000_bc,"Roland Emmerich is partial to cutting-edge special effects and stone-age storytelling, meaning that 10,000 B.C., a dim-witted CG extravaganza set in prehistoric times, is something like his ideal project.","10,000 B.C.",Rotten
m/10000_bc,"I can't figure out exactly when the film 10,000 B.C. is set, but it's definitely ancient times. Like before they had cars, guns or tabloid blogs. And definitely before they had cohesive plots or dialogue that made sense.","10,000 B.C.",Rotten
m/10000_bc,"One part Joseph Campbell hero quest, one part multi-culti morality tale, one part live-action Flintstones cartoon, 10,000 B.C. is finally every part just plain nuts.","10,000 B.C.",Rotten
m/10000_bc,"10,000 B.C. is a movie of woolly mammoths and fuzzy thinking.","10,000 B.C.",Rotten
m/10000_bc,"10,000 BC would be much better if it allowed itself the freedom to be kitsch.","10,000 B.C.",Rotten
m/10000_bc,"10,000 B.C. isn't only brain-dead, it's completely dead. It's inert and without a heartbeat.","10,000 B.C.",Rotten
m/10000_bc,"10,000 B.C. is a true disaster on every level, a derivative and sometimes incomprehensible mess.","10,000 B.C.",Rotten
m/10000_bc,"[I] saith to you that I had a strangely good time, and whether that is from laughing at 10,000 B.C. or laughing with it I knoweth not, although I strongly suspect the former.","10,000 B.C.",Rotten
m/10000_bc,"There have been funny movies about prehistoric times ... but for real gut-busting laughs, it's hard to top the ridiculousness of 10,000 B.C.","10,000 B.C.",Rotten
m/10000_bc,"Even as a fantasy spectacle, 10,000 B.C. is sorely in need of intelligent design.","10,000 B.C.",Rotten
m/10000_bc,"10,000 B.C. takes a prehistoric approach to storytelling.","10,000 B.C.",Rotten
m/10000_bc,"10,000 B.C. is a load of crap dressed up with pretty background vistas. The film is terminally lifeless, something that a so-called 'event' picture should never be.","10,000 B.C.",Rotten
m/10000_bc,"On a Neanderthal level, ""10,000 B.C."" works.","10,000 B.C.",Rotten
m/10000_bc,"Visually, historically and creatively, this film dishonors the year 10,000 B.C.","10,000 B.C.",Rotten
m/10000_bc,"While there are moments, '10,000 B.C.' never makes you jump. On the + side, the movie isn't as lumbering as those digital elephantine beasts.","10,000 B.C.",Rotten
m/10000_bc,"Making prehistoric people talk and behave just like modern people in a 10,000 B.C. setting makes actors look silly. Their costumes are silly, the settings are silly, and the whole movie is unintentionally funny.","10,000 B.C.",Rotten
m/10000_bc,"If Mel Gibson remade Apocalypto and cast it with the Geico cavemen, he might end up with something akin to 10,000 B.C..","10,000 B.C.",Rotten
m/10000_bc,"A beggar's banquet of milky CGI beasties and clunky battle-porn set-pieces, 10,000 B.C. is an extravagant waste of time, money and effort. Fans of caveman antics may want to go with something more historically accurate. Like The Flintstones.","10,000 B.C.",Rotten
m/10000_bc,"A blind man is brought up on a slab from beneath the earth, where he has spent years cooped up in cramped quarters with nothing to keep him entertained. After spending two hours in a darkened theater watching 10,000 B.C., I could relate.","10,000 B.C.",Rotten
m/10000_bc,"In fact, while sitting through this banal attempt at a big-scale epic, I could not help but go through a checklist in my mind of all the movies ""10,000 B.C."" borrows from.","10,000 B.C.",Rotten
m/10000_bc,"But the folks who made 10,000 B.C. have filled their film with a sub-Disney plot and inserted a few measly slivers of action that hardly warrant all the mystical hubbub and romantic angst.","10,000 B.C.",Rotten
m/10000_bc,"10,000 BC takes film making back to the stone age...","10,000 B.C.",Rotten
m/10000_bc,"A lousier adventure movie you won't find this year: 10,000 B.C. belongs, if not back in the stone age, then at least back in the mid '90s, where this sort of mindless, effects-driven drivel is best left.","10,000 B.C.",Rotten
m/1000121-39_steps,"For those who love a grand spy mystery, a wild chase, and a harrowing portrait of an innocent man struggling to prove his innocence while the world turns inexplicably against him, The 39 Steps is ideal.",The 39 Steps,Fresh
m/1000121-39_steps,"The 39 Steps (1935) is one of the earlier Alfred Hitchcock British spy-chase suspense-thrillers from a vintage period, his 18th film. Considered his first real masterpiece, it is both a crowd-pleasing box-office success and an extremely influential film",The 39 Steps,Fresh
m/1000121-39_steps,"All the fun of North By Northwest in a little over half the time, The 39 Steps is -- even for the umpteenth viewing -- absolutely unmissable.",The 39 Steps,Fresh
m/1000121-39_steps,"The 39 Steps was the first time everything just came together: the master's favorite themes, his sense of humor, his timing and rhythm, and his personal touch. With this movie, he emerged, fully formed.",The 39 Steps,Fresh
m/1000121-39_steps,"The 39 Steps is sexy, exciting, unexpectedly moving (thanks to Peggy Ashcroft's portrayal of a lonely woman married to a brutish farmer), and wholly unpredictable, with an ending that nicely loops back to the start.",The 39 Steps,Fresh
m/1000121-39_steps,"The scene in which Mr Memory is asked at the London Palladium ""What are the 39 Steps?"" remains one of 20th-century cinema's most gripping moments.",The 39 Steps,Fresh
m/1000121-39_steps,The 39 Steps is a masterclass in propulsive narrative cinema that even today's so-called blockbuster auteurs should study.,The 39 Steps,Fresh
m/1000121-39_steps,"The 39 Steps is light, urbane, sexy as hell, and as so much of Hitchcock was so often, right about everything.",The 39 Steps,Fresh
m/1000121-39_steps,"The newest Gaumont British importation, The 39 Steps, should prove pretty conclusively that Alfred Hitchcock is the finest native director in England.",The 39 Steps,Fresh
m/1000121-39_steps,The 39 Steps is as polite as Geneva and as wicked as a dozen G-men pictures in one.,The 39 Steps,Fresh
m/1000121-39_steps,"Made in England 1935, 'The 39 Steps' isn't the first Hitchcock film constructed around ""the wrong man"" conceit, but it's one where he found his touch.",The 39 Steps,Fresh
m/1000121-39_steps,"The 39 Steps transcends the time period: part Bond movie, part comedic caper, and anchored by a performance that feels Ryan Goslingian, it's a black-and-white movie that feels alive and contemporary.",The 39 Steps,Fresh
m/1000123-310_to_yuma,The new 3:10 to Yuma will have to be quite a film to stand up to the original.,3:10 to Yuma,Fresh
m/1000123-310_to_yuma,"Although not as nerve-wracking as High Noon, 3:10 to Yuma is even more claustrophobic… and the two-character drama is more intriguing than High Noon's protagonist standing alone.",3:10 to Yuma,Fresh
m/1000123-310_to_yuma,"Like The Gunfighter and Winchester '73, 3:10 to Yuma is one of those defining '50s Westerns that is well-known by film buffs but has never reached the familiarity level of a High Noon or Shane.",3:10 to Yuma,Fresh
m/1000204-abraham_lincoln,Abraham Lincoln is a startlingly superlative accomplishment.,Abraham Lincoln,Fresh
m/10002114-dark_water,"...while Dark Water isn't a complete wash (no pun intended), watched side-by-side with Ringu, it ultimately comes off as a pale successor.",Dark Water,Fresh
m/10002114-dark_water,So much of Dark Water is contrived that it defies the mind to try to make sense of it.,Dark Water,Rotten
m/10002114-dark_water,"It's flawed, but you should see Dark Water, a decent little chiller that brings a whole new meaning to rising damp.",Dark Water,Fresh
m/1000224-accused,The Accused demonstrates that rape victims often are suspects in their own cases.,The Accused,Fresh
m/10002516-lost_city,"Despite the strong emotional connection many Miamians will feel toward the movie, The Lost City falls far short of the sweep, complexity and passion it strives for.",The Lost City,Rotten
m/10002516-lost_city,"Compelling in fits and starts, actor-director Andy Garcia's The Lost City possesses grand aspirations but troublesome execution.",The Lost City,Rotten
m/10002516-lost_city,"...even trying to put [politics] aside, The Lost City has a number of problems.",The Lost City,Rotten
m/10002516-lost_city,"The Lost City manages to make Havana, Sydney Pollack's disastrous 1990 attempt at a Casablanca homage set against the Cuban revolution with Robert Redford, look good by comparison.",The Lost City,Rotten
m/10002516-lost_city,"Noteworthy and well-intended, The Lost City isn't exactly a lost opportunity, just a sincerely limited one.",The Lost City,Rotten
m/10002516-lost_city,"Throbbing with music, seething with anger and romance, The Lost City is a film that breaks your heart, bewilders, alienates and ravishes you by turns.",The Lost City,Fresh
m/10002516-lost_city,"The Lost City has a subject, a setting and a historical backdrop, but in the foreground it has a relatively passive protagonist, Fico, whose passions are understated and whose fortunes inspire only minor concern.",The Lost City,Rotten
m/10002516-lost_city,"Musical...handsome...poignantly nostalgic...The Lost City is a lot of things, but what it's not is incisive.",The Lost City,Rotten
m/10002516-lost_city,"As a musical fever dream of paradise lost, The Lost City is a flawed success, boasting just enough truth and admirable purpose to justify the hazards of Garcia's passion.",The Lost City,Fresh
m/10002516-lost_city,Garcia's fans and viewers who love Cuban music will probably enjoy The Lost City if they don't mind the long run time.,The Lost City,Fresh
m/10002516-lost_city,"For a film rooted in the director's own experience, The Lost City is surprisingly unilluminating.",The Lost City,Rotten
m/10002516-lost_city,"It's barely coherent as it is, but at 2 hours and 23 minutes, The Lost City is simply infuriating.",The Lost City,Rotten
m/10002516-lost_city,"'The Lost City' is intriguing as a historical document and adequate as cinema, but it has a blandness at its core that no amount of spicy mambo and booty-quaking dance routines can disguise.",The Lost City,Rotten
m/10002516-lost_city,"Andy Garcia's preposterous vanity project The Lost City is an all-singing, all-dancing version of the Cuban Revolution.",The Lost City,Rotten
m/10002519-breaking_point,"The Breaking Point adapts Hemingway's book and wrings out some genuine notes of solid tragedy, as well as a more nuanced performance from its lead actor.",The Breaking Point,Fresh
m/10002519-breaking_point,The Breaking Point is crackling good drama.,The Breaking Point,Fresh
m/10002519-breaking_point,"Arguably the superior mounting of the Ernest Hemingway story, The Breaking Point proves moral gloom exists as equally and virulently sunny-side up.",The Breaking Point,Fresh
m/1000253-adams_rib,"Adam's Rib gives us writers, performers and a director all operating at peak levels of performance; it's a classic comedy.",Adam's Rib,Fresh
m/1000253-adams_rib,"Adam's Rib (1949) is director George Cukor's most famous film of the battle of the sexes - between two married lawyers. The Oscar-nominated screenplay (originally titled Man and Wife) for the sparkling, MGM classic (screwball) comedy...",Adam's Rib,Fresh
