rotten_tomatoes_link,movie_title,movie_info,actors,lead_actor,lead_actor_first
m/1000224-accused,The Accused,"Out drinking one night after a fight with her boyfriend, Sarah Tobias (Jodie Foster) is brutally raped by three men in a bar while people watch and cheer. District Attorney Kathryn Murphy (Kelly McGillis) takes the case, however allows the rapists to receive a mild sentence. A distraught Sarah decides to seek punishment for the men who witnessed and encouraged the rape. To get justice, Sarah must take the stand and revisit the night of her attack in this drama based on true events.","Jodie Foster, Kelly McGillis, Bernie Coulson, Leo Rossi, Ann Hearn, Steve Antin, Tom O'Brien, Allan Lysell, Carmen Argenziano, Terry David Mulligan, Woody Brown, Peter Van Norden, Scott Paulin, Kim Kondrashoff, Stephen E. Miller, Andrew Kavadas, Tom McBeath, Rose Weaver, Linda Darlow, Veena Sood, Anthony Holland, Kevin McNulty, Jerry Wasserman, Barney O'Sullivan, Christianne Hirt, Frances Flanagan, Mike Winlaw, Deryl Hayes, Dana Still, Denalda Williams, Babs Chula, Rebecca Toolan, Stephen Dimopoulos, Freda Perry, Dave Sheridan, Gary Chalk, Garwin Sanford, Gloria Lee, Michelle Goodger, Thomas Heaton, Pamela Sue Martin, Wally Marsh",Jodie Foster,True
m/10002516-lost_city,The Lost City,"Fico Fellove (Andy Garcia), an apolitical Havana club owner, gets caught in the middle when Fidel Castro's Communist Revolution sweeps through Cuba. He tries to keep the strife outside the walls of his popular establishment, but his family becomes divided when his brothers (Nestor Carbonell, Enrique Murciano) join the fight against Batista.","Andy Garcia, Dustin Hoffman, Bill Murray, Inés Sastre, Tomás Milian, Elizabeth Peña, Jsu Garcia, Nestor Carbonell, Lorena Feijoo, Millie Perkins, Enrique Murciano Jr., Richard Bradford, Dominik García-Lorido, Steven Bauer, Tony Plana, Juan Fernández, Sergio Carlo, William Marquez, Julio Oscar Mechoso, Daniel Pino, Ruben Rabasa, Victor Rivers, Waldemar Kalinowski",Andy Garcia,True
m/1000253-adams_rib,Adam's Rib,"A courtroom rivalry finds its way into the household when prosecuting lawyer Adam Bonner (Spencer Tracy) faces off against his wife, Amanda (Katharine Hepburn), who happens to be a defense attorney. Working on opposite sides of a lawsuit where a woman (Judy Holliday) has shot her cheating husband (Tom Ewell), Adam and Amanda are both determined to win the case, and their home becomes the setting for comical showdowns, with neither spouse willing to relent.","Spencer Tracy, Katharine Hepburn, Judy Holliday, Tom Ewell, David Wayne, Jean Hagen, Hope Emerson, Eve March, Clarence Kolb, Emerson Treacy, Polly Moran, Will Wright, Elizabeth Flournoy, Janna Da Loos, Marvin Kaplan, John Maxwell Sholes, David Clarke, Gracille LaVinder, William Self, Paula Raymond, Tommy Noonan, John Maxwell, Ray Walker, Bill Self, Sidney Dubin, Madge Blake, Marjorie Wood, Lester Luther, De Forrest Lawrence, John Fell, David Roger Harris, Anna Q. Nilsson, Rex Evans, Louis Mason, Charles Bastin, James Nolan, E. Bradley Coleman, Glen B. Gallagher, Joseph E. Bernard, Gil Patric, Harry Cody, George Magrill, Bert Davidson",Spencer Tracy,True
m/10002635-bridge_of_san_luis_rey,The Bridge of San Luis Rey,"During the Spanish Inquisition, Franciscan monk Brother Juniper (Gabriel Byrne) witnesses the collapse of a bridge in Lima, Peru, and wonders why God has chosen to let five people perish. At a tribunal led by the imperious archbishop of Peru (Robert De Niro), the monk gives evidence about the tragedy's victims, including a marquesa (Kathy Bates) rejected by her daughter (Émilie Dequenne) and the beautiful mistress (Pilar López de Ayala) of a local nobleman (F. Murray Abraham).","Gabriel Byrne, F. Murray Abraham, Kathy Bates, Geraldine Chaplin, Robert De Niro, Émilie Dequenne, Adriana Domínguez, Harvey Keitel, Samuel Le Bihan, Pilar López de Ayala, John Lynch, Dominique Pinon, Mark Polish, Michael Polish, Jim Sheridan",Gabriel Byrne,True
m/10002673-prowler,The Prowler (Cost of Living ),"After being frightened by a peeping Tom at her mansion in the suburbs, the beautiful Susan Gilvray (Evelyn Keyes) calls the police for help. When a policeman, Webb Garwood (Van Heflin), arrives, he becomes infatuated with Susan, and the two engage in an affair. Susan soon ends their relationship, choosing to remain with her husband, John (Sherry Hall). However, Webb's obsession with her continues to grow, until he begins plotting to kill John and cash in on his life insurance policy.","Van Heflin, Evelyn Keyes, Katherine Warren, John Maxwell, Emerson Treacy, Madge Blake, Wheaton Chambers, Robert Osterloh, Sherry Hall, Louise Lorimer, George Nader, Benny Burt, Louise M. Bates, Steve Carruthers, Betty Jane Howarth, Fred Hoose, Alan Harris, Tiny Jones",Van Heflin,False
m/10003276-criminal,Criminal,"Needing a new partner capable of intricate cons, Richard Gaddis (John C. Reilly), recruits Rodrigo (Diego Luna), a crook with a perfect poker face. The two plan a big-time scam: selling a fake Silver Certificate to currency collector William Hannigan (Peter Mullan). Rodrigo distrusts his new associate, but needs money to help out his ill father. The situation becomes more complicated when Rodrigo falls for Gaddis' sister, Valerie (Maggie Gyllenhaal), drawing another player into the game.","John C. Reilly, Diego Luna, Maggie Gyllenhaal, Jonathan Tucker, Peter Mullan, Zitto Kazann, Maeve Quinlan, Laura Cerón, Soledad St. Hilaire, Brandon Keener, Gary Mack, Ellen Geer, Brent Sexton, Enrico Colantoni, Nick Anavio, Deborah Van Valkenburgh, Malik Yoba, Lillian Hurst, Jack Conley, Juan Carlos Cantu, Manuel G. Jimenez, Luis Contreras, Patricia Belcher, Paul Norwood",John C. Reilly,True
m/1000334-adventures_of_mark_twain,The Adventures of Mark Twain,"In this claymation film, celebrated author Mark Twain (James Whitmore), displeased with the state of humanity, sets off in a hot-air balloon to meet his celestial destiny: Halley's Comet. Stowed away on the craft are beloved characters from Twain's stories -- Tom Sawyer (Chris Ritchie), Becky Thatcher (Michele Mariana) and Huckleberry Finn (Gary Krug). As Twain's balloon ascends ever higher to its ultimate goal, his literary creations try to persuade him of the essential goodness of man.","James Whitmore, Michele Mariana, Gary Krug, Chris Ritchie, Carol Edelman, John Hennigan",James Whitmore,True
m/1000355-adventures_of_robin_hood,The Adventures of Robin Hood,"When King Richard the Lionheart is captured, his scheming brother Prince John (Claude Rains) plots to reach the throne, to the outrage of Sir Robin of Locksley (Errol Flynn), the bandit king of Sherwood Forest. Rounding up his band of men and eventually winning the support of the lovely Maid Marian (Olivia de Havilland), Robin accuses Prince John of treachery and, when the escaped Richard returns covertly to England, joins forces with the king to prevent Prince John from taking the crown.","Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Eugene Pallette, Alan Hale, Una O'Connor, Patric Knowles, Melville Cooper, Herbert Mundin, Montagu Love, Ian Hunter, Robert Warwick, Leonard Willey, Harry Cording, Howard Hill, Robert Noble, Kenneth Hunter, Colin Kenny, Lester Matthews, Ivan Simpson, James Baker, Charles McNaughton, Wilfred Lucas, Lionel Belmore, Janet Shaw, Reginald Sheffield, Crauford Kent, Austin Fairman, Hal Brazeale, Holmes Herbert, Leonard Mudie, Herbert Evans, Alec Harford, Peter Hobbes, Leyland Hodgson, Olaf Hytten, Marten Lamont, Val Stanton, John Sutton",Errol Flynn,False
m/10003876-man_hunt,Man Hunt,"Renowned big-game hunter Captain Thorndike (Walter Pidgeon) is hunting in the Bavarian forest when he stumbles upon Adolf Hitler's vacation residence. Tempted by the idea of assassinating the dictator, he's apprehended and beaten before escaping and stowing away on a steamship back to England. Onboard, Thorndike has his identity stolen by the smooth-talking con man Mr. Jones (John Carradine). Both men soon discover that Gestapo agents are swarming London, looking for the would-be assassin.","Walter Pidgeon, Joan Bennett, George Sanders, John Carradine, Roddy McDowall, Ludwig Stossel, Heather Thatcher, Frederic Worlock, Roger Imhof, Egon Brecher, Holmes Herbert, Fredrik Vogeding, Lucien Prival, Herbert Evans, Edgar Licho, Eily Malyon, John Rogers, Lester Matthews, Arno Frey, Keith Hitchcock, Walter Bonn, Otto Reichow, Robert Stephenson, William Haade, Adolph Milar, Sven Hugo Borg, Hans Joby, Douglas Gerrard, Clifford Severn, Charles Bennett, Bobby Hale, Frank Benson, Cyril Delevanti, Bruce Lister, Carl Ekberg, Olaf Hytten, William Von Brincken, Virginia McDowall, Bruce Lester, Richard Fraser, Kurt Kreuger",Walter Pidgeon,True
m/10003925-dead_end,Dead End,"When a family en route to a Christmas Eve gathering decides to takes a shortcut down a wooded road, an eerie sequence of events signals trouble ahead. After nearly colliding with an oncoming car, father Frank (Ray Wise) picks up a ghostly hitchhiker (Amber Smith) and her infant child. With the sudden appearance of their new passengers, the route becomes dark and treacherous -- and the family's numbers rapidly begin to dwindle in a series of seemingly connected, grisly roadside accidents.","Ray Wise, Lin Shaye, Mick Cain, Alexandra Holden, Billy Asher, Amber Smith, Steve Valentine, Karen S. Gregan, Clement Blake, Jimmie F. Skaggs, Ivan Kraljevic",Ray Wise,True
m/10004050-bandwagon,Bandwagon,"When Tony (Lee Holmes) loses his job, he decides to focus on singing and writing songs. He then starts a band with his friends: Wynn (Kevin Corrigan) plays guitar, Eric (Steve Parlavecchio) is on bass and Charlie (Matthew Hennessey) mans the drums. Though an encounter with a loan shark almost ends the group's career before it starts, they soon team up with manager Chester (Doug MacMillan) and hit the road, where they learn that the rock 'n' roll lifestyle isn't everything it's cracked up to be.","Matthew Hennessey, Kevin Corrigan, Steve Parlavecchio, Lee Holmes, Doug MacMillan, Lisa Keller, Steve Robinson, Douglas McCallie, Doug McCallie, Steph Robinson, Mary Ellen Williams, Sally Nussbaumer, Beth Cameron, Rob Munk, Ed Slanker, Joe Ventura, Jac Cain, Jenny Fields, Eddie Oaks, Andrew Coffing, Slayde Barnes, John Bailey, Jeff Holler, K.D. Kennedy, Edward Marshall, Matthew Huggler, Robert Healy, Diane Eidman, David Palmer, Knox White, Rafael Clements, William McClain, Jeffrey Pillars, Tina Meinhart, John Wayne Shafer, Helen Crisp, Perry L. Brown, Mark Filliaci, Marguerite Lowell",Matthew Hennessey,False
m/10004069-whore,Whore,"Encouraged by her neighbor (Daryl Hannah), a financially strapped graduate student (Denise Richards) turns to prostitution to make ends meet.","Daryl Hannah, Denise Richards, Joaquim de Almeida, María Jiménez, Conrad Son, Pierre Woodman, Dora Venter, Rita Faltoyano, Carol Fonda, Africa",Daryl Hannah,True
m/10004226-wild_side,Wild Side,"Along with one (Edouard Nikitine) of her live-in lovers, a woman (Stéphanie Michelini) returns to her home village to visit her dying mother.","Stéphanie Michelini, Josiane Stoleru, Yasmine Belmadi, Edouard Nikitine, Josiane Storelu, Corentin Carinos, Perrine Stevenard, Benoît Verhaert, Fabrice Rodriguez, Jacques Hery",Stéphanie Michelini,False
m/10004232-10004232-tale_of_two_pizzas,A Tale of Two Pizzas,"The offspring of rival pizzeria owners (Vincent Pastore, Frank Vincent) fall in love as their fathers battle over who makes the best pie.","Vincent Pastore, Vincent Sassone, Frank Vincent, Angela Pietropinto, Conor Dubin, Patti D'Arbanville, Frankie J. Galasso, Kelly Karbacz, Melissa Marsala, Robin Paul, Michael Carbonaro, Mikey Romano, Mary Ellen Ashley, Louis Guss, Nick Gianguilio",Vincent Pastore,True
m/10004288-running_scared,Running Scared,"Mafia flunky Joey Gazelle (Paul Walker) is ordered to dispose of the guns that killed a pair of policemen. He hides them in his basement, where they are found by Oleg (Cameron Bright), the kid from next door, who uses one to shoot his brutal stepfather, a Russian mobster. The boy runs off, and Joey pursues him into the criminal underworld, desperate to retrieve the incriminating weapon. Meanwhile, corrupt detective Rydell (Chazz Palminteri) is following Joey's trail with his own agenda.","Paul Walker, Cameron Bright, Vera Farmiga, Karel Roden, Johnny Messner, Ivana Milicevic, Chazz Palminteri, Alex Neuberger, Michael Cudlitz, Bruce Altman, Elizabeth Mitchell, Arthur J. Nascarella, John Noble, Idalis DeLeon, David Warshofsky, Jim Tooey, Thomas Rosales Jr., Morgan Johnson, Jamba Mulimbwe, Maurice Lee, Viktor Cervenka, Oakley Lehman, Jan Kohout, Jeffrey Smith, Karen Cifarelli, Brian Caspe, Ryan James, Ellen Savaria",Paul Walker,True
m/10004352-going_the_distance,Going the Distance,"Nick (Christopher Jacot) is a successful young man whose comfortable West Coast life couldn't be better. However, when his girlfriend falls under the influence of lecherous music producer Lenny Swackhammer (Jason Priestley), Nick impulsively decides to travel to Toronto to intervene. Nick's buddies Tyler (Shawn Roberts) and Dime (Ryan Belleville) opt to turn the quest into a cross-country road trip that's complete with wacky antics and encounters with beautiful women.","Christopher Jacot, Shawn Roberts, Ryan Belleville, Joanne Kelly, Mayko Nguyen, Jason Priestley, Matt Frewer, Katheryn Winnick, August Schellenberg, Jackie Burroughs, Andrew Airlie, Lynda Boyd, Jay Brazeau, Andy Jones, Christie Laing, Miles Meadows, Devin Douglas Drewitz, Avril Lavigne",Christopher Jacot,True
m/10004504-ultraviolet,Ultraviolet,"In the late 21st-century, a vampiric disease modifies some people, imbuing each of them with superhuman strength, intelligence and speed. Worldwide civil war looms as normal people, feeling threatened by their enhanced brethren, demand the extermination of the group. One such transformed female (Milla Jovovich) finds herself caught in the crossfire when she becomes the protector of a boy who is perceived to be a threat to humanity.","Milla Jovovich, Cameron Bright, Nick Chinlund, William Fichtner, Sebastien Andrieu, Ida Martin, David Collier, Kieran O'Rorke, Digger Mesch, Ryan Martin, Steven Calcote, Ricardo Mamood, Mike Smith, Clay Cullen, Jennifer Caputo, Jack Murphy, Diego Swing, Ted Thomas, Abraham Boyd, Matthew Sturgess, Alexander Key, Peter Spurrier, Russell Wait, Youlia Galenko, Luke Jackson, Christopher Garner, Duc Luu, Kurt Wimmer, Gilad Lotan, Phillip Moore, Robert Alonzo, Mitchell Gould, Daniel Hawe, Scott Piper",Milla Jovovich,True
m/10004684-malevolence,Malevolence,"Bank robbers (Brandon Johnson, Heather Magee) take two hostages to a rural farmhouse where a serial killer lurks.","Samantha Dark, R. Brandon Johnson, Heather Magee, Richard Glover, Courtney Bertolone, John Richard Ingram, Keith Chambers, Mia Lotringer, Kevin McKelvy",Samantha Dark,False
m/10004697-eternal,Eternal,A detective's (Conrad Pla) search for his missing wife leads him to a wealthy woman (Caroline Néron) who may have supernatural powers.,"Sarah Manninen, Caroline Neron, Victoria Sanchez, Conrad Pla, Ilona Elkin, Nick Baillie, Luke Belanger, Liane Balaban, John Dunn-Hill, Arthur Holden, Kathleen Munroe, Romano Orzari, John Dunhill, Yves Corbeil, Jennifer Morehouse, Ella, Suzanne Jaquart, Cristina Bertini, Ted Rusoff",Sarah Manninen,False
m/10004835-farewell_to_arms,A Farewell To Arms,"Based on the Ernest Hemingway novel, this World War I drama follows American soldier Lt. Frederick Henry (Rock Hudson) and his romance with a nurse, Catherine Barkley (Jennifer Jones). While fighting alongside the Italian army, Frederick is separated from Catherine, who is pregnant with his child. After helping locals escape to freedom, Frederick searches for Catherine while enemy forces hunt him across Italy. But Catherine's poor health may prevent Frederick from reaching her in time.","Rock Hudson, Jennifer Jones, Vittorio De Sica, Alberto Sordi, Mercedes McCambridge, Kurt Kasznar, Oscar Homolka, Elaine Stritch, Leopoldo Trieste, Franco Interlenghi, José Nieto, Georges Brehat, Memmo Carotenuto, Victor Francen, Joan Shawlee, Guido Martufi, Umberto Spadaro, Umberto Sacripante, Albert D'Amario, Giacomo Rossi-Stuart, Bud Spencer, Alex Revides, Franco Mancinelli, Patrick Crean, Guidarino Guidi, Diana King, Clelia Matania, Eduard Linkers, Johanna Hofer, Luigi Barzini, Carlo Licari, Angelo Galassi, Carlo Hintermann, Tiberio Mitri, Peter Illing, Sam Levene, Eva Kotthaus, Gisella Mathews, Vittorio Jannitti, Gisella Matthews",Rock Hudson,True
m/10004925-matador,The Matador,"Salesman Danny Wright (Greg Kinnear) is working through his shaky marriage and the untimely death of his child when he bumps into the similarly dispirited Julian Noble (Pierce Brosnan) in a Mexican dive bar. After they develop an unusual but meaningful bond, the brash Julian reveals that he is a contract killer, which doesn't bother Danny. Months later, a desperate Julian shows up at Danny's home and asks for a life-changing favor that truly puts their friendship to the test.","Pierce Brosnan, Greg Kinnear, Hope Davis, Philip Baker Hall, Adam Scott, Dylan Baker, Arlin Miller, Roberto Sosa, Azucena Medina, Portia Dawson, Israel Tellez, Claudia Lobo, Arturo Echeverria, Ramon Valverde, Jonah Meyerson",Pierce Brosnan,False
m/10005057-smile,Smile,"While visiting China, an American high-school student (Mika Boorem) befriends a teenager (Yi Ding) who has a facial deformity.","Mika Boorem, Wang Luoyong, Yi Ding (II), Beau Bridges, Linda Hamilton, Cheri Oteri, Sean Astin, Shuai Chi, Jonathon Trent, Erik von Detten, Jia Song, Essie Shure",Mika Boorem,True
m/10005104-intruder,The Intruder (L'Intrus),"After receiving a heart transplant, an enigmatic loner (Michel Subor) journeys to Tahiti to reconnect with the son he fathered many years earlier.","Beatrice Dalle, Michael Subor, Jean-Marc Teriipaia, Florence Loiret-Caille, Bambou, Yekatarina Golueva, Grégoire Colin, Michel Subor, Edwin Alin, Katya Golubeva, Henri Tetainanuarii, Dong-ho Kim, Chang Se-tak, Park Hong-suk, Anna Tetuaveroa, Henri tetu Tetainanuarii, Karin Bambourough, Alex Descas, Lolita Chammah",Beatrice Dalle,False
m/10005178-saint_ralph,Saint Ralph,"The year 1954 finds teen outcast Ralph Walker (Adam Butcher) getting in trouble at the Catholic school he attends in Ontario, Canada. When the headmaster (Gordon Pinsent) catches Ralph smoking, he puts the boy on the school's cross-county team to force him to put his time to better use. When Ralph discovers that his hospitalized mother has slipped into a coma, he decides to run in the Boston Marathon, hoping that, if he wins, God will grant him a miracle and make his mother well again.","Adam Butcher, Campbell Scott, Gordon Pinsent, Gordon Pincsent, Jennifer Tilly, Shauna MacDonald, Tamara Hope, Frank Crudele, Michael Kanev, Chris Ploszczansky, Paulette Sinclair, Lubica Kucerova, Ben Gans, Jock McLeod, Jeff Baxter, Daniel Karasik, Jonathan Walker, Keir Gilchrist, Jonathan Wilson, Rob Smith, Joan Massiah, Gerard Parkes, Boyd Banks, Henry Alessandroni, Fiona Highet, Brandon Barre, John Blakey, Naomi Emmerson, Barry Stillwell, Jonathan Higgins, Michael David Brown",Adam Butcher,True
m/10005403-the_baxter,The Baxter,"Elliot Sherman (Michael Showalter) has had terrible luck with women during his life, losing three of them to ex-boyfriends in outlandish situations. Now, a week before he is to marry Caroline (Elizabeth Banks), she mentions an old high-school boyfriend, Bradley (Justin Theroux), and Elliot worries that the curse is about to strike again. A co-worker named Cecil (Michelle Williams) attempts to reassure him, but trying not to give in to anxiety only makes things worse.","Michael Showalter, Elizabeth Banks, Michelle Williams, Justin Theroux, Zak Orth, Michael Ian Black, Catherine Lloyd Burns, Peter Dinklage, Paul Rudd, Katharine Powell, John DeVries, Donna Mitchell, Haviland Morris, David Wain, Jim DeMarse, Leslie Lyles, A.D. Miles, Joe Lo Truglio, Seth Herzog, Jonathan Marc Sherman, Peter Stadlen, Abby Wathen, Gabriel Millman, Sarah Drew, Chris Spain, Marylouise Burke, Ken Marino, Audrie J. Neenan, Bobby Tisdale, Michael Portnoy, Maya Goldsmith, Jenny Maguire, Melisa McGregor, Madeleine Dauzart, Andrea Rosen",Michael Showalter,True
m/10005499-oliver_twist,Oliver Twist,An orphan (Barney Clark) in 19th-century London falls in with a gang of young pickpockets who steal for their villainous master (Ben Kingsley).,"Ben Kingsley, Barney Clark, Leanne Rowe, Mark Strong (II), Jamie Foreman, Harry Eden, Edward Hardwicke, Ian McNeice, Jeremy Swift, Frances Cuka, Michael Heath, Gillian Hanna, Alun Armstrong, Andy de la Tour, Andrew de la Tour, Peter Copley, Andreas Papadopoulos, Laurie Athey, Filip Hess, Lewis Chase, Jack Curran, Chris Overton, Richard Durden, Timothy Bateson, Joseph Tremain, Andy Linden, John Nettleton, Tony Noble, Teresa Churcher, Gerard Horan, Morgane Polanski, Liz Smith, Levi Hayes, Ophelia Lovibond, Elvis Polanski, Patrick Godfrey, Anezka Novak, Andy Camm, Frank Mills, Turbo, David Meeking, Paul Brooke, Kaeren Revell, Andrea Miltner, Kay Raven, Lizzy Le Quesne, Robert Orr, Paul Eden, Nick Stringer, James Babson, Richard Ridings",Ben Kingsley,False
