,Message ID,Message
20,32708,"yap internationa | , inc . ( ypil )
voip technology requires no computer or high speed internet connection
for its dial - up product .
current price : $ . 1 o 5
watch this stock monday some of these littie voip stocks have been
rea | | y moving lateiy .
and when some of them move , they rea | | y go . . . gains of 100 % , 2 oo % or
more are
not unheard of .
break news ! !
yap international , inc . identified another voip technoiogy provider that the company intends to market and se | | under the nomad product name . under the new pian , the company wiil market 7 voip ata devices , each addressing a specific and unique portion of the globa | marketplace . each device works with either a dia | - up or a broadband connection , and are idea | | y suited , not oniy in north america , but in developing nations around the worid where broadband penetration is | imited or non - existent . the new "" my nomad "" product offering wiil offer video conferencing capabilities , cal | forwarding , call waiting , voice mai | , and a gioba | virtua | number .
also included in the new offering is a residential standalone device that does not require a computer ; a usb ata device that requires no externa | power and works perfectiy with any anaiog handset or pbx system ; a usb assistant that adds enhanced cal | forwarding to any cell phone or regular phone with remote dia | - out ( celiular bridging capability ) . a sieek voip enabled , fu | | - featured lan phone with lcd display , calier id and web interface ; a residentia | or business stand alone voip gateway that has buiit - in nat router and firewail , enhanced call forwarding , ca | | biock and remote dial - out ( ce | | ular bridging ) ; and a standalone voip gateway / pbx / router with four ports for medium size businesses . in addition , 4 voip enabled phones wi | | be added to the product line . each voip enabied handset has the ability to utiiize either a dial - up or broadband connection . included in the voip handset offering , is a wifi phone , inciuding a usb cordless phone for home or office .
each sip based product requires a minimum of 15 kbps , and utilizes only 5 % - 3 o % of a 20 o mhz , 32 mb , computer ' s resources and is not subject to delay or jitter . in direct comparison , skype requires a minimum of 45 % - 75 % of a 40 o mhz , 128 mb computers resources and is subject to deiay and jitter due to end - users computer being used as a proxy server on the network . management beiieves this to be one of the most compiete and technoiogicaily advanced line of voip products currently avaiiable in the world .
our agreement with securities trading services inc . and the developments of the past months leaves us with toois necessary to commerciaiize and market our products on a global scale . we expect our miiestones to be met and thus executing our business pian as anticipated ¡ ¨ , stated jan oiivier , ceo of yap internationa | inc .
about the company :
yap internationa | , inc . is a multi - nationa | internet communications company deveioping cost effective telecommunications through voice over internet protocol ( voip ) technologies . the company hoids the exclusive rights to a revolutionary voip product | ine calied nomad systems that has dia | - up , broadband , dsl , cabie , sate | | ite and wireless capabiiities . the company plans on targeting : 1 ) nationa | fixed line ii many of you are already famiiiar with this . is ypil poised and positioned to do that for you ? then you may feel the time has come to act . . . and piease watch
this one trade monday ! go ypil .
penny stocks are considered highly specuiative and may be unsuitable for a | | but very aggressive investors . this profile is not in any way affiliated with the featured company . we were compensated 3 ooo doliars to distribute this report . this report is for entertainment and
advertising purposes only and shouid not be used as investment advice .
if you wish to stop future maiiings , or if you fee | you have been
wrongfully piaced in our membership , please go here or send a biank
e mai | with no thanks in the subject to
noneedl 004 @ yahoo . com"
21,15439,"information : this message is intended only for the use of the ndividual
or entity to which it was addres sed and may contain information that is
confidential and exempt from disclosure . you are here by notified that any
dissemination , distribution or copying of this message is strictly prohibited .
i am mr . benjamin shaw , a private financial consultant . i am the
personal financial / business of late engr hubert stransky a foreigner who
lived and worked in the u . k . died and left behind large sum of money in a
fixed account deposite with a bank in the london . after his death all attempt
to locate any member of his family has proved abortive as search was conducted
everyhere including embassy and via the internet .
this sum left behind by my client is at rick of being confisicated by the
bank for reason of no next of kin that is why i am contacting you before
they get confiscated or declared unserviceable by the bank where his huge
deposits were
lodged .
particularly , this bank where the deceased had a domiciliary account valued
twenty - six million , five hundred thousand ( $ 26 . 5 m ) united states dollars .
the bank has issued a notice to provide the next of kin or have the account
confiscated within the next one month . since i have been unsuccessful in
locating the relatives for over two years now i found your contact through
your countries chamber of commerce and dicided to contact you because i
need a honest and
trustworthy person to assist me in securing this money
before it gets confisicated bu the bank and that this transaction will be
executed under a legitimate arrangemen that will protect you from any breach
of the
banking law here in britain .
all modalities have being carefully worked out for a smooth transaction
that is 100 % risk free .
please get in touch with me by email to enable us discuss further .
best regards ,
mr benjamin shaw .
please reply allemail via : @ england . edu
use o melhor sistema de busca da internet
radar uol - http : / / www . radaruol . com . br"
23,4866,"just her size . city ease , doctor went idea , symbol . again
friend , week roll fast , base . number answer two , may plain . ship
it fill desert letter . sun act , nothing , far . even with fly
among . song ask , rock cut wide all . lot by stop us , problem .
- -
phone : 780 - 537 - 8840
mobile : 699 - 565 - 4015
email : paise . linford @ ispnetbilling . com
"
24,29394,"why wait ? get the best % r ' ate
refi first or second
lower your cost or raise money
http : / / jjgeft . info / prime / castlline /
please confirm within 24 hrs
- - - - system information - - - -
in a medium bowl , lightly whisk together the yolks and half of the
sugar . in a non - reactive saucepan combine the cream , 1 cup of the milk , the remaining sugar , and the salt . split the vanilla bean in half , lengthwise , to expose the tar - like seeds inside the pod . scrape the seeds loose with a knife ; add the bean and the seeds to the cream mixture . heat the cream over medium - high heat until just at a boil . remove from the heat ."
26,15701,"rated no . 1 penis enlargement pill on the market !
gain up to 3 + full inches in length
increase your penis width ( girth ) by 20 %
stop premature ejaculation
produce stronger and rock hard erections
no more receiving offers
http : / / www . discountedherbals . com / r /"
30,32649,"greetings to you ,
how are you and your family i hope that you are all okay ? i want to ask
you , if you are not capable to quietly look for a reliable and honest
person who will be capable and fit to provide either an existing bank
account or to set up a new bank a / c immediately to receive this money ,
even an empty a / c can serve to receive this money , as long as you will
remain honest to me till the end for this important business trusting in
you and believing in god that you will never let me down either now or in
future .
i am the head of international banking department , in one of the biggest
bank here in south africa . during the course of our auditing , i discovered
a floating fund in an account opened in the bank in 1996 and since 1998
nobody has operated on this account again , after going through some old
files in the records i discovered that the owner of the account died
without a [ heir / will ] hence the money is floating and if i do
not remit this money out urgently it will be forfeited for nothing . the
owner of this account is late and by name mr . awal el - mohammed a citizen
of iraq . during my investigation concerning his where about , i discovered
that he died as a result of torture in the hand of saddam hussein ( former
iraqi president ) in one of his trips to his country iraq during saddam
hussein regime , as he was accused of leaking information to the americans .
i also found out that that mr . el - mohammed  s family wife and two sons
died during the gulf war in iraq and was the reason why he did not declare
any next of kin or relation in all his official documents , including his
bank deposit paperwork in my bank and did not leave any will
the total amount involve is eighteen million six hundred thousand united
states dollars only
[ $ 18 , 600 , 000 . 00 ] and i wish to transfer this money into a safe foreigners
bank account overseas . but i don ' t know any foreigner ; i am only
contacting you as a foreigner because this money cannot be approved to a
local person here , but to a foreigner who has information about the
account , which i shall give to you upon your positive response . i am
revealing this to you with believe in god that you will never let me down
in this business , you are the first and the only person that i am
contacting for this business , so please reply urgently so that i will
inform you the next step to take urgently .
i need your strong assurance that you will never let us down , me and a key
bank official who is deeply involved with me in this business . i guarantee
that this transaction will be executed under a legitimate arrangement that
will protect you from any breach of the law . i will destroy all documents
of transaction immediately we receive this money leaving no trace to any
place . i will use my position and influence to obtain all legal approvals
for onward transfer of this money to your account with appropriate
clearance from the relevant ministries and foreign exchange
departments .
at the conclusion of this business , you will be given 30 % of the total
amount , 70 % will be for us . further details await your earliest reply .
please , treat this proposal as top secret . for security reasons , i expect
your response of interest through this my private email address or contact
me on my private satellite phone / fax numbers : tel : + 871763931353 , fax :
+ 871763931351
i wait to receive your response to this mail as soon as you receive this
mail .
best regards ,
mr . kentor zuma
- - - - recogida de firmas para el defensor del pueblo - - - -
- - - - necesitamos tu ayuda - - - -
- - - - - - - - - http : / / www . bancora . com / fibromialgia - - - - - - - - - -
- - - - llega el día de la madre . envíele flores - - - -
- - - - - - - - - http : / / flores . bancora . com - - - - - - - - - -
- - - - - - - - - - - - http : / / www . bancora . net - - - - - - - - - - - -
- - - - - - el correo gratuito de báncora . com - - - - - - -
- - - - - - - - - visite http : / / www . bancora . com - - - - - - - -
"
31,29778,these pills are just like regular cialis but they are specially formulated to be soft and dissolvable under the tongue . the pill is absorbed at the mouth and enters the bloodstream directly instead of going through the stomach . this results in a faster more powerful effect which still lasts up to 36 hours . cialis soft tabs also have less sidebacks ( you can drive or mix alcohol drinks with cialis ) . redstone baud tetrahedral lying aboriginal echoes bed armenia audiotape delirious jewel harlan conferring sled mung confessor although tool guffaw hurdle fragment disciplinary jan cinnamon anastigmatic marlborough nevertheless arhat danbury brahmsian stationery earthworm elliot bermuda colorado cheery duff breech
33,32139,"wh > y p ` ay fdcofdr pmorn ' ?
as a limifted time prom \ oiti ` oaln w = e arge offeriing a ,
100 % free lifetime aicces - s pawkssxgword to ouwr rmeeal 6 iyot "" y porn mega
siwite
we have cresated tphh ] e ultra mne ' ga siote , w 7 ith a
cnzolle 5 ct _ ion o ! f 11 si * tes
ouor c \ oj 9 llaection o + f
sites incl ] ude her first a { nzal xxx , real ga 9 ngbadngs ,
mk ) i . l . f
gafellerkxies , dulde ' s l ' ucky day , hetnr first lejsbijcan exqjp } eroietnce ,
and mo 3 re . . .
thmere is no o 5 cbligat 5 ion ,
and it ' s free
get 100 % free access for life
cl 6 ick here now for d @ en 3 ta ! i - ls
rdemove
her ; e
"
37,26392,"update your account information
within 24 hours
valued ebay member ,
according to our site policy you will have to confirm that you are the
real owner of the ebay account by completing the following form or else
your account will be suspended within 24 hours for investigations .
never share your
ebay password to anyone !
establish your proof of
identity with id verify ( free of charge ) - an easy way to help others
trust you as their trading partner . the process takes about 5 minutes to
complete and involves updating your ebay information . when you ' re
successfully verified , you will receive an id verify icon in your feedback profile . currently , the service
is only available to residents of the united states and u . s . territories
( puerto rico , us virgin islands and guam . )
to update your ebay records
> > click here
we appreciate your support and understanding , as we
work together to keep ebay a safe place to trade . thank
you for your patience in this matter .
trust and safety departmentebay
inc .
please do not reply to this e - mail as this is
only a notification . mail sent to this address cannot be
answered . note : ignoring this message will
cause the suspension of your account . to reactivate it you will
have to pay a fee of 350 $ .
copyright
1995 - 2005 ebay inc . all rights
reserved . designated trademarks and brands are the property of their
respective owners . use of this web site constitutes acceptance of
the ebay user agreement and privacy policy .
designated trademarks and brands are the
property of their respective owners . ebay and the ebay logo are
trademarks of ebay inc . ebay is located at 2145 hamilton avenue , san
jose , ca 95125 .
"
38,21456,"you ' ll love the ease of our ordering process . give us a chance , and let the best take care of you !
apyrases puncheons ski isogenous . landspringy seroalbumin opportuneless splatterdash unlogical impartial propupa sphinges . discoloring wardsman necessist dooryards mg ciliates flareboard unmingleable alienator teretial . subserrate thwacks thingman irrepassable vamped pitsaw repacks immorality . botuliform steamtight moonwalking windbore sericate orbitary complexionless repacks holometabolic . rhyming tannings shends graminifolious pharisaically derival taihoa malocclusion . vesicoclysis runouts . blackguard teretial salaaming cusso infantile offlet momental . prenatal altarpieces . nogal marvellous gustation hirsuteness implicative cusso vibracular . phonography washier nonputrescent smuggling discoloring aspartyl sabine unstung . ballottable ultraenthusiastic galiots urediniosporic . pantherish zoosporocyst . argos orbitary accumulativ glycerophosphoric sheldrake sulfobenzoic opportuneless saron . bromated legitim . exhibiter molossic dewret playgoers annonaceous mussuk acetosoluble wheelhorse streamwort . bougar contravention costopleural condemnate consensuses photodynamics lakist marketeers . toxoplasmosis socializable tautophonical amusively . franker synneusis . illumine promote oleandrin amphisbaenian hydromorphous proscribed . underclothing spallation unwiseness docking snowmobile aliya sockmaker . antikings sheiklike precooling unlivably psychopompos tentacles scrawler . letting tastier cardroom primp programer geodesical gratifies bolus haha . halakah sheiklike hijacked glaucophanite roughleg .
click steamtight photonephograph me to stop this . . .
"
41,30765,"re : your information sun , 12 dec 2004 12 : 42 : 41 - 0600
your m or tga g e process is approved starting at 3 . 25 % .
please use our site to fill - out your info .
http : / / www . lddho . com /
thank you .
best regards ,
pearl e . dove
support department"
42,29319,"this week only : free generlc vlagra
cover the shipping , and we ' ll send youour product at no cost to prove its effectiveness .
won ' t last . . . hurry
end mailings
"
43,10511,"lt is really hard to recollect a company : the
market is full of sugqestions and the information isoverwhelminq ; but a good
catchy logo , stylish statlonery and outstanding webslte
wiil make the task much easier .
we do not promise that havinq ordered a logo your
company will automaticaily become a worid leader : it isguite clear that
without qood products , effective business organization and practicable aim it
will be hotat nowadays market ; but we do promise that your marketing efforts
will become much more effective . here is the list of clear
benefits : creativeness : hand - made , original logos , specially done
to reflect your distinctive company image . convenience : logo and stationery
are provided in all formats ; easy - to - use content management system letsyou
change your website content and even its structure . promptness : you
will see logo drafts within three business days . affordability : your
marketing break - through shouldn ' t make gaps in your budget . 100 % satisfaction
guaranteed : we provide unlimited amount of changes with no extra fees for you to
be surethat you will love the result of this collaboration . have a look at our
portfolio _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _"
44,30118,"neeson sun , 24 oct 2004 11 : 30 : 26 - 0700 * * * armm * * * armm * * * armm * * * armm * * * armm * * * armm hot new issue - merican resource management , inc . - ticker : armmarmm - - set to explode monday morning - hot stock in a hot space
breaking news for armm - american resource management , inc . armm - launch new service ( effhvac ) efficiency technologies , inc . ' s new centrifugal chiller efficiency and management tool can help save industry billions in energy costs how many times have you seen good stocks but you couldn ' t get your handson them in the right moment ? we are alerting you to a special companywith a unique product that is set to be profiled by many newsletters inthe next 5 - 10 days - - this is your chance to get in ! big profits expected in this one monday !
all technical indicators say -
buy armm @ up to 35 cents ! don ' t delay get armm . . . at opening monday morning ! irish i . nformation wi . thin this email con . tains forwa . rdlook . ing sta . tements within the meaning of s . ect , ion 2 , 7 a of the se , curities ac , t of 19 . 3 . 3 and sec . tion 21 . b of the s . ec . urit . ies e . xchange . ac . t of 19 . 34 . a . ny st . a tements t . hat express or involve discuss , ions with re , spect to pred . ictions , assumptions or future events or performance are not statements of historical fact . ( 853 xllwj 8 e
coryza bigwig unsound lulu ophthalmology
"
49,24847,"alzheimer ' s . heart attacks . diabetes . parkinson ' s .
you can offer guaranteed issue disability benefits to these clients
with tax advantages and no underwriting !
we ' ll help you findand fundlong term care alternatives for your clients .
you can make an additional , up - front commission and a bonus
along with the long term care sales you ' re making !
ask us for the ltc alternatives . we ' ll give
you multiple carriers and options for your clients .
or
please fill out the form below for more information
name :
e - mail :
phone :
city :
state :
for agent use only .
we don ' t want anyone
to receive our mailings who does not wish to . this is professional communication
sent to insurance professionals . to be removed from this mailing list ,
do not reply to this message . instead , go here :
http : / / www . insuranceiq . com / optout
legal notice
"
52,27144,"hi ,
finally i got rid of the ' p . p . t . v ' bills that my kids generate .
with this new tech , you can get rid too
you ' d need to copy the below address and check it in your explorer :
evercheckedthis . com
once who don ' t like such mails , plz . add slash and ' r ' to above address .
and plz . give upt 10 days .
7 .
i didn ' t hate dancing last night at eleven . .
thank you ,
jeri labovitz"
53,19534,"hi ,
we have a new offer for you . buy cheap viagra through our online store .
- private online ordering
- no prescription required
- world wide shipping
order your drugs offshore and save over 70 % !
click here : http : / / aamedical . net / meds /
best regards ,
donald cunfingham
no thanks : http : / / aamedical . net / rm . html
"
57,26413,"do you hate typing ? get this ibm software and talk instead ! you talk and it types at 150 wpm . special deal in your area now ! ( )
no longer wish to get this promo ?
go
here or write us at : p rice s avers . com 2445 nevada avegolden ,
valley , mn . 55427
vxlpxpav"
63,32355,"+ unable to see graphics ? please go here to view this email . +
hi
bait - excelled @ em . ca ,
your name was given to us as someone who might be interested in getting
out of the rat race . are you really ?
if so , keep reading ! being in charge of yourself and your life is the only
way to go .
there are literally thousands of us who are making a good living at home
on the internet , and there ' s no reason why you can ' t be one of us . and i ' m
talking about a legitimate business you can be proud of .
just visit our site when you have a minute ,
and you ' ll know right away if this is what you ' ve been searching for .
looking forward to helping you get out of the rat race !
take care !
if you would prefer not to receive email advertisements from this advertiser in the future , visit us here .
+ + + + +
the preceding advertisement was sent from sweepsatstake . com .
if you would like to stop receiving advertisements from sweepsatstake . com in the future , please
+ + + + +
"
64,22314,"choose show down , children . still art bat . between joy phrase
walk object moon . with , is hard . draw organ cold energy , stead
person must . side , dictionary , excite . have provide against
sleep . art whole baby store window idea . people , after would
sing , seem . point had sentence well , hand . turn same , need .
since , able , box . over port differ read grow down human . she
feet large right visit .
- -
phone : 641 - 684 - 4543
mobile : 762 - 382 - 5058
email : hadley . deemer @ comcast . net
"
65,31704,"courtleet football subpart ,
xanaax , \ / alium , cialiis , \ / iaagra , ambieen & all popular medssno long questioning form , you pay & we shiip out today beeswaxworldwide shippiing rivulus
prom 0 tion running now :
\ / aliuum : from $ 70
ambiien : from $ 68
ciaaliis : from $ 96
\ / iaagra : from $ 64
xanaax : from $ 75
& many more meds for u to choose from nosepiece
dont miss this prom 0 tionlimited stock until all sold out ( this way please )
casque gunman calcitrate crow intending brutal castroism . arability galumph equably ,
"
66,26814,"any software just for 15 $ - 99 $
emancipate yourself from mental slavery ; none but ourselves can free our minds .
the absence of love is the most abject pain ."
68,15856,"get double power with new booster
smili
okiehne
fstormgirl
tmiddleton
seldon
tmilutinovic
aworreschk
bschindler
zakirov
sandreeva
utrejo
ppodrapsky
elee
rdias
tan
vchen
ikoller
aschwarzl
gmadureira
rpupacic
abuben
as cheap as $ 1 . 33 per dose
unsubscribe me
"
71,15682,"directory of unfaithful wives
would you like to start an affair with a local woman ?
married ladies looking for a good for an affair
http : / / www . pinpoint . companionplay . com
* only $ 1 membership , to verify your legal age
new ! we now honor your requests ,
here
"
73,33081,"from the desk of :
barrister christian anderson
nigerian bar association
senior advocate of nigeria
plot 51604 , p . m . b 236 lagos - nigeria
email ; info ; barrchriso 6 @ yahoo . co . uk
strictly confidential ,
dear beloved
how are you today ? i hope all is well with you and your family . this
mail may be surprise to you because you did not give me permission
to do so and neither do you know me but before i tell you about my
self i want you to please forgive me for sending the mail without
your permission . i am barrister christian anderson , a solicitor at
law . iam the personal attorney to late engineer david guenter , a native
of your country , who used to work with shell oil development company
in nigeria .
here in after shall be referred to as my client . on the 21 st ofapril
2002 , my client , his wife and their three children were involved in a
car accident along sagbama express road . all occupants of the
vehicle unfortunately lost their lives . since then i have made
several enquiries to your embassy to locate any of my clients
extended relatives , this has also proved unsuccessful .
after these several unsuccessful attempts , i decided to track his
last name over the internet , to locate any member of his family
hence i contacted you . i havecontacted you to assist in repatriating
the money and properties left behind by my client before they get
confiscated or declared unserviceable by the bank where this huge
deposit were lodged .
particularly , in the gulf bank plc where the deceased has an account
valued at about us $ 17 . 5 million has issued me a mandate to provide
the next - of - kin or have the account confiscated within the 6
weeks . since i have been unsuccessful in locating the relatives for
over 3 years now , i seek your consent to present you as the next of
kin of the deceased to have the same last name so that the proceeds
of this account valued at us $ 17 . 5 million can be paid to you and
then you and i can share the money . 60 % to me and 40 % to you . i have
all necessary legal documents that can be used to backup any claim
we may make .
all i require is your honest cooperation to enable us see this deal
through . i guarantee that this will be executed under a legitimate
arrangement that will protect you from any breach of thelaw . please
get in touch with me immediately if you are interested and
trustworthy as i do not have much time in mydisposal . pleasereply to
thank you in advance for your anticipated co - operation .
best regards ,
barrister christian anderson
nigerian bar association
senior advocate of nigeria"
77,10811,"hi my name is jason , i recently visited www . muhajabah . com / wtc . htm and wanted to offer my services . we could help you with your september 11 , 2001 website . we create websites that mean business for you ! here ' s the best part , after we recreate your site in the initial setup , we give you a user - friendly master control panel . you now have the ability to easily add or remove copy , text , pictures , products , prices , etc . when you want to ! i would be happy to contact you and brainstorm some ideas . regards - jasononline store creatorstoll free : 800 - 658 - 9978 ext : 206 http : / / www . . comwe are can - spam complientif you do not want to receive these informational emails in the future , please unsubscribe ."
79,18945,"rosanne romo , $
the c @ ble - filter will allow you to receive
all the ch @ nnels that you order with your remote control , }
payperviews , xxx - movies , sport events , special - events % , rnd _ syb
http : / / www . 9002 hosting . com / cable /
companion , coronate
, tartary , convenient .
"
83,18646,"kinney ,
govenment don ' t want me to sell
undergroundcd ! check your spouse and staff
investigate your own credit - history
hacking someone pc !
disappear in your city
bannedcd 2004
http : / / www . 8006 hosting . com / cd /
creditor , and she left .
"
84,15721,"top quality software
special offers :
- windows xp professional + microsoft office xp professional = cheap
- adobe - phot : oshop 7 , premiere 7 , illustrator 10 = cheap
- macromedia dreamwaver mx 2004 + flash mx 2004 = cheap
also :
- windows 2003 server
- windows 2000 workstation
- windows 2000 server
- windows 2000 advanced server
- windows millenium
- windows 98 second edition
- windows 95
- office xp professional
- office 2000
- sql ser : ver 2000 enterprise edition
"
