review_content_1,review_content_2
"Uma Thurman as Medusa, the gorgon with a coiffure of writhing snakes and stone-inducing hypnotic gaze is one of the highlights of this bewitching fantasy","Seen today, it's not only a startling indictment of British imperialism, but it seems a remarkably forward-thinking work."
"Uma Thurman as Medusa, the gorgon with a coiffure of writhing snakes and stone-inducing hypnotic gaze is one of the highlights of this bewitching fantasy",A rousing visual spectacle that's a prequel of the Cy Endfield directed Zulu (1964).
"With a top-notch cast and dazzling special effects, this will tide the teens over until the next Harry Potter instalment.","It may not be truthful - but, my God, the result is thrilling."
"With a top-notch cast and dazzling special effects, this will tide the teens over until the next Harry Potter instalment.",The movie is a revelation.
"With a top-notch cast and dazzling special effects, this will tide the teens over until the next Harry Potter instalment.","This is that rarity in films - an all-action, no-frills, straightforward re-creation of an heroic moment in history."
"With a top-notch cast and dazzling special effects, this will tide the teens over until the next Harry Potter instalment.",As a spectacular war film with a powerful moral dimension.
"With a top-notch cast and dazzling special effects, this will tide the teens over until the next Harry Potter instalment.","The tension mounts, breaks, mounts, seems unbearable and then is borne at the right sort of pace, and, for a film that's largely taken up with killing, it strikes me as decently unbloodthirsty."
"With a top-notch cast and dazzling special effects, this will tide the teens over until the next Harry Potter instalment.",A rousing reconstruction of the 1879 Battle of Rorke's Drift.
"With a top-notch cast and dazzling special effects, this will tide the teens over until the next Harry Potter instalment.","Seen today, it's not only a startling indictment of British imperialism, but it seems a remarkably forward-thinking work."
"With a top-notch cast and dazzling special effects, this will tide the teens over until the next Harry Potter instalment.",A rousing visual spectacle that's a prequel of the Cy Endfield directed Zulu (1964).
"Whether audiences will get behind The Lightning Thief is hard to predict. Overall, it's an entertaining introduction to a promising new world -- but will the consuming shadow of Potter be too big to break free of?","It may not be truthful - but, my God, the result is thrilling."
"Whether audiences will get behind The Lightning Thief is hard to predict. Overall, it's an entertaining introduction to a promising new world -- but will the consuming shadow of Potter be too big to break free of?",The movie is a revelation.
"Whether audiences will get behind The Lightning Thief is hard to predict. Overall, it's an entertaining introduction to a promising new world -- but will the consuming shadow of Potter be too big to break free of?","This is that rarity in films - an all-action, no-frills, straightforward re-creation of an heroic moment in history."
"Whether audiences will get behind The Lightning Thief is hard to predict. Overall, it's an entertaining introduction to a promising new world -- but will the consuming shadow of Potter be too big to break free of?",As a spectacular war film with a powerful moral dimension.
"Whether audiences will get behind The Lightning Thief is hard to predict. Overall, it's an entertaining introduction to a promising new world -- but will the consuming shadow of Potter be too big to break free of?","The tension mounts, breaks, mounts, seems unbearable and then is borne at the right sort of pace, and, for a film that's largely taken up with killing, it strikes me as decently unbloodthirsty."
"Whether audiences will get behind The Lightning Thief is hard to predict. Overall, it's an entertaining introduction to a promising new world -- but will the consuming shadow of Potter be too big to break free of?",A rousing reconstruction of the 1879 Battle of Rorke's Drift.
"Whether audiences will get behind The Lightning Thief is hard to predict. Overall, it's an entertaining introduction to a promising new world -- but will the consuming shadow of Potter be too big to break free of?","Seen today, it's not only a startling indictment of British imperialism, but it seems a remarkably forward-thinking work."
"Whether audiences will get behind The Lightning Thief is hard to predict. Overall, it's an entertaining introduction to a promising new world -- but will the consuming shadow of Potter be too big to break free of?",A rousing visual spectacle that's a prequel of the Cy Endfield directed Zulu (1964).
"Percy Jackson isn't a great movie, but it's a good one, trotting out kernels of Greek mythology like so many Disney Channel references.","It may not be truthful - but, my God, the result is thrilling."
"Percy Jackson isn't a great movie, but it's a good one, trotting out kernels of Greek mythology like so many Disney Channel references.",The movie is a revelation.
"Percy Jackson isn't a great movie, but it's a good one, trotting out kernels of Greek mythology like so many Disney Channel references.","This is that rarity in films - an all-action, no-frills, straightforward re-creation of an heroic moment in history."
"Percy Jackson isn't a great movie, but it's a good one, trotting out kernels of Greek mythology like so many Disney Channel references.",As a spectacular war film with a powerful moral dimension.
"Percy Jackson isn't a great movie, but it's a good one, trotting out kernels of Greek mythology like so many Disney Channel references.","The tension mounts, breaks, mounts, seems unbearable and then is borne at the right sort of pace, and, for a film that's largely taken up with killing, it strikes me as decently unbloodthirsty."
"Percy Jackson isn't a great movie, but it's a good one, trotting out kernels of Greek mythology like so many Disney Channel references.",A rousing reconstruction of the 1879 Battle of Rorke's Drift.
"Percy Jackson isn't a great movie, but it's a good one, trotting out kernels of Greek mythology like so many Disney Channel references.","Seen today, it's not only a startling indictment of British imperialism, but it seems a remarkably forward-thinking work."
"Percy Jackson isn't a great movie, but it's a good one, trotting out kernels of Greek mythology like so many Disney Channel references.",A rousing visual spectacle that's a prequel of the Cy Endfield directed Zulu (1964).
"Fun, brisk and imaginative","It may not be truthful - but, my God, the result is thrilling."
"Fun, brisk and imaginative",The movie is a revelation.
"Fun, brisk and imaginative","This is that rarity in films - an all-action, no-frills, straightforward re-creation of an heroic moment in history."
"Fun, brisk and imaginative",As a spectacular war film with a powerful moral dimension.
"Fun, brisk and imaginative","The tension mounts, breaks, mounts, seems unbearable and then is borne at the right sort of pace, and, for a film that's largely taken up with killing, it strikes me as decently unbloodthirsty."
"Fun, brisk and imaginative",A rousing reconstruction of the 1879 Battle of Rorke's Drift.
"Fun, brisk and imaginative","Seen today, it's not only a startling indictment of British imperialism, but it seems a remarkably forward-thinking work."
"Fun, brisk and imaginative",A rousing visual spectacle that's a prequel of the Cy Endfield directed Zulu (1964).
"Crammed with dragons, set-destroying fights and things exploding, [Columbus] squeezes in a few well-meaning pause breaks about friendship and absent fathers before swiftly moving on to the next pyrotechnics display.","It may not be truthful - but, my God, the result is thrilling."
"Crammed with dragons, set-destroying fights and things exploding, [Columbus] squeezes in a few well-meaning pause breaks about friendship and absent fathers before swiftly moving on to the next pyrotechnics display.",The movie is a revelation.
"Crammed with dragons, set-destroying fights and things exploding, [Columbus] squeezes in a few well-meaning pause breaks about friendship and absent fathers before swiftly moving on to the next pyrotechnics display.","This is that rarity in films - an all-action, no-frills, straightforward re-creation of an heroic moment in history."
"Crammed with dragons, set-destroying fights and things exploding, [Columbus] squeezes in a few well-meaning pause breaks about friendship and absent fathers before swiftly moving on to the next pyrotechnics display.",As a spectacular war film with a powerful moral dimension.
"Crammed with dragons, set-destroying fights and things exploding, [Columbus] squeezes in a few well-meaning pause breaks about friendship and absent fathers before swiftly moving on to the next pyrotechnics display.","The tension mounts, breaks, mounts, seems unbearable and then is borne at the right sort of pace, and, for a film that's largely taken up with killing, it strikes me as decently unbloodthirsty."
"Crammed with dragons, set-destroying fights and things exploding, [Columbus] squeezes in a few well-meaning pause breaks about friendship and absent fathers before swiftly moving on to the next pyrotechnics display.",A rousing reconstruction of the 1879 Battle of Rorke's Drift.
"Crammed with dragons, set-destroying fights and things exploding, [Columbus] squeezes in a few well-meaning pause breaks about friendship and absent fathers before swiftly moving on to the next pyrotechnics display.","Seen today, it's not only a startling indictment of British imperialism, but it seems a remarkably forward-thinking work."
"Crammed with dragons, set-destroying fights and things exploding, [Columbus] squeezes in a few well-meaning pause breaks about friendship and absent fathers before swiftly moving on to the next pyrotechnics display.",A rousing visual spectacle that's a prequel of the Cy Endfield directed Zulu (1964).
